seq	level	ref	datatype	occurrence	XPath
1000	1	cbc:UBLVersionID	Identifier	0..1	/DebitNote/cbc:UBLVersionID
1010	1	cbc:CustomizationID	Identifier	0..1	/DebitNote/cbc:CustomizationID
1020	1	cbc:ProfileID	Identifier	0..1	/DebitNote/cbc:ProfileID
1030	1	cbc:ProfileExecutionID	Identifier	0..1	/DebitNote/cbc:ProfileExecutionID
1040	1	cbc:ID	Identifier	1..1	/DebitNote/cbc:ID
1050	1	cbc:CopyIndicator	Indicator	0..1	/DebitNote/cbc:CopyIndicator
1060	1	cbc:UUID	Identifier	0..1	/DebitNote/cbc:UUID
1070	1	cbc:IssueDate	Date	1..1	/DebitNote/cbc:IssueDate
1080	1	cbc:IssueTime	Time	0..1	/DebitNote/cbc:IssueTime
1090	1	cbc:Note	Text	0..n	/DebitNote/cbc:Note
1100	1	cbc:TaxPointDate	Date	0..1	/DebitNote/cbc:TaxPointDate
1110	1	cbc:DocumentCurrencyCode	Code	0..1	/DebitNote/cbc:DocumentCurrencyCode
1120	1	cbc:TaxCurrencyCode	Code	0..1	/DebitNote/cbc:TaxCurrencyCode
1130	1	cbc:PricingCurrencyCode	Code	0..1	/DebitNote/cbc:PricingCurrencyCode
1140	1	cbc:PaymentCurrencyCode	Code	0..1	/DebitNote/cbc:PaymentCurrencyCode
1150	1	cbc:PaymentAlternativeCurrencyCode	Code	0..1	/DebitNote/cbc:PaymentAlternativeCurrencyCode
1160	1	cbc:AccountingCostCode	Code	0..1	/DebitNote/cbc:AccountingCostCode
1170	1	cbc:AccountingCost	Text	0..1	/DebitNote/cbc:AccountingCost
1180	1	cbc:LineCountNumeric	Numeric	0..1	/DebitNote/cbc:LineCountNumeric
1190	1	cac:InvoicePeriod	PeriodType	0..n	/DebitNote/cac:InvoicePeriod
1200	2	cbc:StartDate	Date	0..1	/DebitNote/cac:InvoicePeriod/cbc:StartDate
1210	2	cbc:StartTime	Time	0..1	/DebitNote/cac:InvoicePeriod/cbc:StartTime
1220	2	cbc:EndDate	Date	0..1	/DebitNote/cac:InvoicePeriod/cbc:EndDate
1230	2	cbc:EndTime	Time	0..1	/DebitNote/cac:InvoicePeriod/cbc:EndTime
1240	2	cbc:DurationMeasure	Measure	0..1	/DebitNote/cac:InvoicePeriod/cbc:DurationMeasure
1250	2	cbc:DescriptionCode	Code	0..n	/DebitNote/cac:InvoicePeriod/cbc:DescriptionCode
1260	2	cbc:Description	Text	0..n	/DebitNote/cac:InvoicePeriod/cbc:Description
1270	1	cac:DiscrepancyResponse	ResponseType	0..n	/DebitNote/cac:DiscrepancyResponse
1280	2	cbc:ReferenceID	Identifier	0..1	/DebitNote/cac:DiscrepancyResponse/cbc:ReferenceID
1290	2	cbc:ResponseCode	Code	0..1	/DebitNote/cac:DiscrepancyResponse/cbc:ResponseCode
1300	2	cbc:Description	Text	0..n	/DebitNote/cac:DiscrepancyResponse/cbc:Description
1310	2	cbc:EffectiveDate	Date	0..1	/DebitNote/cac:DiscrepancyResponse/cbc:EffectiveDate
1320	2	cbc:EffectiveTime	Time	0..1	/DebitNote/cac:DiscrepancyResponse/cbc:EffectiveTime
1330	2	cac:Status	StatusType	0..n	/DebitNote/cac:DiscrepancyResponse/cac:Status
1340	3	cbc:ConditionCode	Code	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:ConditionCode
1350	3	cbc:ReferenceDate	Date	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:ReferenceDate
1360	3	cbc:ReferenceTime	Time	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:ReferenceTime
1370	3	cbc:Description	Text	0..n	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:Description
1380	3	cbc:StatusReasonCode	Code	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:StatusReasonCode
1390	3	cbc:StatusReason	Text	0..n	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:StatusReason
1400	3	cbc:SequenceID	Identifier	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:SequenceID
1410	3	cbc:Text	Text	0..n	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:Text
1420	3	cbc:IndicationIndicator	Indicator	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:IndicationIndicator
1430	3	cbc:Percent	Percent	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:Percent
1440	3	cbc:ReliabilityPercent	Percent	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cbc:ReliabilityPercent
1450	3	cac:Condition	ConditionType	0..n	/DebitNote/cac:DiscrepancyResponse/cac:Status/cac:Condition
1460	4	cbc:AttributeID	Identifier	1..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cac:Condition/cbc:AttributeID
1470	4	cbc:Measure	Measure	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cac:Condition/cbc:Measure
1480	4	cbc:Description	Text	0..n	/DebitNote/cac:DiscrepancyResponse/cac:Status/cac:Condition/cbc:Description
1490	4	cbc:MinimumMeasure	Measure	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cac:Condition/cbc:MinimumMeasure
1500	4	cbc:MaximumMeasure	Measure	0..1	/DebitNote/cac:DiscrepancyResponse/cac:Status/cac:Condition/cbc:MaximumMeasure
1510	1	cac:OrderReference	OrderReferenceType	0..1	/DebitNote/cac:OrderReference
1520	2	cbc:ID	Identifier	1..1	/DebitNote/cac:OrderReference/cbc:ID
1530	2	cbc:SalesOrderID	Identifier	0..1	/DebitNote/cac:OrderReference/cbc:SalesOrderID
1540	2	cbc:CopyIndicator	Indicator	0..1	/DebitNote/cac:OrderReference/cbc:CopyIndicator
1550	2	cbc:UUID	Identifier	0..1	/DebitNote/cac:OrderReference/cbc:UUID
1560	2	cbc:IssueDate	Date	0..1	/DebitNote/cac:OrderReference/cbc:IssueDate
1570	2	cbc:IssueTime	Time	0..1	/DebitNote/cac:OrderReference/cbc:IssueTime
1580	2	cbc:CustomerReference	Text	0..1	/DebitNote/cac:OrderReference/cbc:CustomerReference
1590	2	cbc:OrderTypeCode	Code	0..1	/DebitNote/cac:OrderReference/cbc:OrderTypeCode
1600	2	cac:DocumentReference	DocumentReferenceType	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference
1610	3	cbc:ID	Identifier	1..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:ID
1620	3	cbc:CopyIndicator	Indicator	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:CopyIndicator
1630	3	cbc:UUID	Identifier	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:UUID
1640	3	cbc:IssueDate	Date	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:IssueDate
1650	3	cbc:IssueTime	Time	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:IssueTime
1660	3	cbc:DocumentTypeCode	Code	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:DocumentTypeCode
1670	3	cbc:DocumentType	Text	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:DocumentType
1680	3	cbc:XPath	Text	0..n	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:XPath
1690	3	cbc:LanguageID	Identifier	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:LanguageID
1700	3	cbc:LocaleCode	Code	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:LocaleCode
1710	3	cbc:VersionID	Identifier	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:VersionID
1720	3	cbc:DocumentStatusCode	Code	0..1	/DebitNote/cac:OrderReference/cac:DocumentReference/cbc:DocumentStatusCode
