ABIE/BBIE/ASBIE	Dictionary Entry Name	Definition	Occurrence Min	Occurrence Max
ABIE	Advance_ Payment. Details	A prepaid discharge of obligations in respect of funds or securities transferred between two or more parties.		
BBIE	Advance_ Payment. Paid. Amount	The monetary value of the funds or securities paid in this advance payment.	1	1
BBIE	Advance_ Payment. Formatted_ Received. Date Time	The formatted date or date time value when an advance payment has been received.	0	1
ABIE	Applied_ Allowance Charge. Details	The applied allowance or charge component of pricing.		
BBIE	Applied_ Allowance Charge. Actual. Amount	The actual monetary value of the applied allowance charge.	0	1
BBIE	Applied_ Allowance Charge. Description. Text	The textual description of the applied allowance charge.	0	1
BBIE	Applied_ Allowance Charge. Reason. Code	The code specifying the reason for this applied allowance charge.	0	1
BBIE	Applied_ Allowance Charge. Calculation. Percent	The percentage used to calculate the applied allowance charge.	0	1
BBIE	Applied_ Allowance Charge. Basis. Amount	The monetary value that is the basis on which the applied allowance charge is calculated.	0	1
BBIE	Applied_ Allowance Charge. Charge. Indicator	The indication of whether or not the applied allowance charge is a charge.	1	1
ASBIE	Applied_ Allowance Charge. Category. Applied_ Tax	The applied tax category of this applied allowance charge.	0	1
ABIE	Applied_ Tax. Details	A total levy or payment for the support of a government that is required of persons, groups, or businesses within the domain of that government.		
BBIE	Applied_ Tax. Calculated. Amount	The monetary value resulting from the calculation of the applied tax.	0	1
BBIE	Applied_ Tax. Type. Code	The code specifying the applied tax type such as VAT.	0	1
BBIE	Applied_ Tax. Calculated. Rate	The rate used to calculate the applied tax.	0	1
BBIE	Applied_ Tax. Basis. Amount	The monetary value used as the basis in calculating the applied tax.	0	1
BBIE	Applied_ Tax. Tax Point. Date	The date of the tax point when taxes, such as VAT, are to be applied.	0	1
ABIE	Available_ Period. Details	A specific period of time such as the length of time between two known date/time points, from a start date onwards, or up to an end date for which something is available.		
BBIE	Available_ Period. Start. Date Time	The date, time, date time or other date time value for the start of this available period of time.	0	1
BBIE	Available_ Period. End. Date Time	The date, time, date time or other date time value for the end of this available period of time.	0	1
BBIE	Available_ Period. Description. Text	The textual description of this available period.	0	1
ABIE	Basic_ Work Item. Details	A basic item of work.		
BBIE	Basic_ Work Item. Identification. Identifier	The unique identifier for this basic work item.	1	1
BBIE	Basic_ Work Item. Reference_ Identification. Identifier	The unique identifier of another work item referenced by this basic work item.	0	1
BBIE	Basic_ Work Item. Primary_ Classification. Code	A code specifying the primary classification for this basic work item.	0	unbounded
BBIE	Basic_ Work Item. Alternative_ Classification. Code	A code specifying an alternative classification for this basic work item.	0	unbounded
BBIE	Basic_ Work Item. Type. Code	A code specifying the type of basic work item.	0	unbounded
BBIE	Basic_ Work Item. Comment. Text	A comment, expressed as text, for this basic work item.	0	unbounded
BBIE	Basic_ Work Item. Total. Quantity	The total quantity for this basic work item.	0	1
BBIE	Basic_ Work Item. Total Quantity Classification. Code	The code specifying the classification of the total quantity for this basic work item.	0	1
BBIE	Basic_ Work Item. Index. Value	The index value for this basic work item.	0	1
BBIE	Basic_ Work Item. Status. Code	A code specifying the status of this basic work item.	0	unbounded
