			------	------	ibg-01	ibg-04	ibg-07	ibg-10	ibg-13	ibg-16	ibg-20	ibg-21	ibg-39	ibg-23	ibg-22	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25
			-	-	0	-	-	-	-	0	0	0	-	1	-	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2
			------	------	------	------	------	------	------	------	------	------	------	------	------	------	ibg-31	ibg-30	ibg-32	ibg-29	------	ibg-31	ibg-30	ibg-32	ibg-29	------	ibg-31	ibg-30	ibg-32	ibg-29
			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	-	-	-	0	0	-	-	-	0	0	-
			ibg-00_------_-_------_-	ibg-00_------_-_------_-	ibg-00_ibg-01_0_------_-	ibg-00_ibg-04_-_------_-	ibg-00_ibg-07_-_------_-	ibg-00_ibg-10_-_------_-	ibg-00_ibg-13_-_------_-	ibg-00_ibg-16_0_------_-	ibg-00_ibg-20_0_------_-	ibg-00_ibg-21_0_------_-	ibg-00_ibg-39_-_------_-	ibg-00_ibg-23_1_------_-	ibg-00_ibg-22_-_------_-	ibg-00_ibg-25_0_------_-	ibg-00_ibg-25_0_ibg-31_-	ibg-00_ibg-25_0_ibg-30_0	ibg-00_ibg-25_0_ibg-32_0	ibg-00_ibg-25_0_ibg-29_-	ibg-00_ibg-25_1_------_-	ibg-00_ibg-25_1_ibg-31_-	ibg-00_ibg-25_1_ibg-30_0	ibg-00_ibg-25_1_ibg-32_0	ibg-00_ibg-25_1_ibg-29_-	ibg-00_ibg-25_2_------_-	ibg-00_ibg-25_2_ibg-31_-	ibg-00_ibg-25_2_ibg-30_0	ibg-00_ibg-25_2_ibg-32_0	ibg-00_ibg-25_2_ibg-29_-
			1000_0000_-_0000_-	1000_0000_-_0000_-	1000_1080_0_0000_-	1000_1390_-_0000_-	1000_1690_-_0000_-	1000_1940_-_0000_-	1000_2130_-_0000_-	1000_2260_0_0000_-	1000_2630_0_0000_-	1000_2750_0_0000_-	1000_2870_-_0000_-	1000_2920_1_0000_-	1000_3020_-_0000_-	1000_3190_0_0000_-	1000_3190_0_3540_-	1000_3190_0_3590_0	1000_3190_0_3730_0	1000_3190_0_3760_-	1000_3190_1_0000_-	1000_3190_1_3540_-	1000_3190_1_3590_0	1000_3190_1_3730_0	1000_3190_1_3760_-	1000_3190_2_0000_-	1000_3190_2_3540_-	1000_3190_2_3590_0	1000_3190_2_3730_0	1000_3190_2_3760_-
					INVOICE NOTE	SELLER	BUYER 	PAYEE	DELIVERY INFORMATION	PAYMENT INSTRUCTIONS	DOCUMENT LEVEL ALLOWANCES	DOCUMENT LEVEL CHARGES	INVOICE TOTAL TAX	TAX BREAKDOWN	DOCUMENT TOTALS	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE	INVOICE LINE
																	ITEM INFORMATION	LINE TAX INFORMATION	ITEM ATTRIBUTES	PRICE DETAILS		ITEM INFORMATION	LINE TAX INFORMATION	ITEM ATTRIBUTES	PRICE DETAILS		ITEM INFORMATION	LINE TAX INFORMATION	ITEM ATTRIBUTES	PRICE DETAILS
			ibg-00_------_------	ibg-00_------_------	ibg-00_ibg-01_------	ibg-00_ibg-04_------	ibg-00_ibg-07_------	ibg-00_ibg-10_------	ibg-00_ibg-13_------	ibg-00_ibg-16_------	ibg-00_ibg-20_------	ibg-00_ibg-21_------	ibg-00_ibg-39_------	ibg-00_ibg-23_------	ibg-00_ibg-22_------	ibg-00_ibg-25_------	ibg-00_ibg-25_ibg-31	ibg-00_ibg-25_ibg-30	ibg-00_ibg-25_ibg-32	ibg-00_ibg-25_ibg-29	ibg-00_ibg-25_------	ibg-00_ibg-25_ibg-31	ibg-00_ibg-25_ibg-30	ibg-00_ibg-25_ibg-32	ibg-00_ibg-25_ibg-29	ibg-00_ibg-25_------	ibg-00_ibg-25_ibg-31	ibg-00_ibg-25_ibg-30	ibg-00_ibg-25_ibg-32	ibg-00_ibg-25_ibg-29
ibt-024	Specification identifier	/Invoice/cbc:CustomizationID	urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0																											
ibt-023	Business process type	/Invoice/cbc:ProfileID	urn:fdc:peppol.eu:2017:poacc:billing:01:1.0																											
ibt-001	Invoice number 	/Invoice/cbc:ID	000016																											
ibt-002	Invoice issue date 	/Invoice/cbc:IssueDate	2003-03-04																											
ibt-009	Payment due date 	/Invoice/cbc:DueDate	2003-03-20																											
ibt-003	Invoice type code 	/Invoice/cbc:InvoiceTypeCode	380																											
