						------	------	ibg-01	ibg-14	ibg-04	ibg-07	ibg-16	ibg-16	ibg-39	ibg-23	ibg-22	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25
								請求書注釈	請求期間	販売者	発注者	支払手段	支払手段	消費税合計金額	消費税内訳情報	請求書総合計金額	明細行	明細行	明細行	明細行	明細行
						-	-	0	-	-	-	0	0	-	0	-	0	0	0	0	0
						------	------	------	------	------	------	------	ibg-17	------	------	------	------	ibg-31	ibg-30	ibg-32	ibg-29
													銀行振込					品目情報	明細行税額情報	品目属性	取引価格詳細
						-	-	-	-	-	-	-	0	-	-	-	-	-	0	0	-
ibg-02	1	PROCESS CONTROL	プロセスコントロール	1..1	Group																
ibt-024	2	Specification identifier	仕様識別子	1..1	ID		urn:cen.eu:en16931:2017														
ibt-001	1	Invoice number 	請求書番号	1..1	ID		20150483														
ibt-002	1	Invoice issue date 	請求書発行日	1..1	Date		2015-04-01														
ibt-009	1	Payment due date 	支払期日	0..1	Date		2015-04-14														
ibt-003	1	Invoice type code 	請求書タイプコード	1..1	Code		380														
ibg-01	1	INVOICE NOTE	請求書注釈	0..n	Group																
ibt-021	2	Invoice note subject code	請求書注釈表題コード	0..1	Text			"Vriendelijk verzoeken wij u ervoor te zorgen dat het bedrag voor de vervaldatum op onze rekening staat onder vermelding van
        het factuurnummer. Het bankrekeningnummer is 37.78.15.500, Rabobank, t.n.v. Bluem te Amersfoort. Reclames gaarne binnen
        10 dagen. Gelieve bij navraag en correspondentie uw firma naam en factuurnummer vermelden."													
ibt-005	1	Invoice currency code	請求書通貨コード	1..1	Code																
ibg-14	1	INVOICING PERIOD 	請求期間	0..1	Group																
ibt-073	2	Invoicing period start date	請求期間開始日	0..1	Date				2016-04-01												
ibt-074	2	Invoicing period end date	請求期間終了日	0..1	Date				2016-06-30												
ibg-03	1	PRECEDING INVOICE REFERENCE	先行請求書への参照	0..n	Group																
ibt-012	1	Contract reference 	契約書参照	0..1	REF																
ibg-24	1	ADDITIONAL SUPPORTING DOCUMENTS	添付書類	0..n	Group																
ibg-04	1	SELLER	販売者	1..1	Group																
ibg-05	2	SELLER POSTAL ADDRESS	販売者の住所	1..1	Group																
ibt-035	3	Seller address line 1 	販売者住所欄1	0..1	Text					Lindeboomseweg 41											
ibt-037	3	Seller city	販売者住所 市区町村	0..1	Text					Amersfoort											
ibt-038	3	Seller post code	販売者郵便番号	0..1	Text					3825 AL											
ibt-040	3	Seller country code 	販売者国コード	1..1	Code					NL											
ibg-42	2	SELLER TAX REGISTRATION	販売者VAT登録情報		Group																
ibt-031	3	Seller TAX identifier	販売者 TAX ID	0..1	ID					NL809163160B01											
ibt-031-1	3	Tax Scheme	税スキーマ	0..1	Code					VAT											
ibg-40	2	SELLER TAX REGISTRATION	販売者TAX登録情報		Group																
ibg-37	2	SELLER LEGAL REGISTRATION	販売者登録情報	0..1	Group																
ibt-027	3	Seller name	販売者名称	1..1	Text					Bluem BV											
ibt-030	3	Seller legal registration identifier	販売者国際企業コード	0..1	ID					32081330 Amersfoort											
ibg-06	2	SELLER CONTACT 	販売者の連絡先	0..1	Group																
ibt-042	3	Seller contact telephone number	販売者連絡先電話番号	0..1	Text					033-4549055											
ibt-043	3	Seller contact email address	販売者連絡先電子メールアドレス	0..1	Text					info@bluem.nl											
ibg-07	1	BUYER 	発注者	1..1	Group																
ibg-08	2	BUYER POSTAL ADDRESS	発注者の住所	1..1	Group																
ibt-050	3	Buyer address line 1 	発注者住所欄1	0..1	Text						Henry Dunantweg 42										
ibt-052	3	Buyer city	発注者住所 市区町村	0..1	Text						Alphen aan den Rijn										
ibt-053	3	Buyer post code	発注者郵便番号	0..1	Text						2402 NR										
ibt-055	3	Buyer country code 	発注者国コード	1..1	Code						NL										
ibg-41	2	BUYER TAX REGISTRATION	発注者税登録情報		Group																
ibg-38	2	BUYER LEGAL REGISTRATION	発注者登録情報	0..1	Group																
ibt-044	3	Buyer name 	発注者名称	1..1	Text						Provide Verzekeringen										
ibg-09	2	BUYER CONTACT	発注者の連絡先	0..1	Group																
ibg-10	1	PAYEE	支払先	0..1	Group																
ibg-11	1	SELLER TAX REPRESENTATIVE PARTY	販売者の納税管理人	0..1	Group																
ibg-12	2	SELLER TAX REPRESENTATIVE POSTAL ADDRESS	納税管理人住所	1..1	Group																
ibg-43	2	TAX REPRESENTATIVE TAX REGISTRATION	販売者の納税管理人の登録情報		Group																
ibg-13	1	DELIVERY INFORMATION	納入先	0..1	Group																
ibg-15	2	DELIVER TO ADDRESS	納入先住所	0..1	Group																
ibg-16	1	PAYMENT INSTRUCTIONS	支払手段	0..n	Group																
ibt-081	2	Payment means type code	支払手段タイプコード	1..1	Code							30									
ibt-083	2	Remittance information	送金情報	0..n	Text							2015 0483 0000 0000									
ibg-17	2	CREDIT TRANSFER 	銀行振込	0..n	Group																
ibt-084	3	Payment account identifier	支払先口座番号	1..1	ID								NL13RABO0377815500								
ibt-086	3	Payment service provider identifier	支払先金融機関番号	0..1	ID								RABONL2U								
ibg-34	3	ADDRESS	支払先住所	0..1	Group																
ibg-18	2	PAYMENT CARD INFORMATION	支払カード情報	0..1	Group																
ibg-19	2	DIRECT DEBIT 	自動口座引落	0..1	Group																
ibg-33	1	INVOICE TERMS	支払条件	0..n	Group																
ibg-35	1	PAID AMOUNTS	支払済金額	0..n	Group																
ibg-20	1	DOCUMENT LEVEL ALLOWANCES	ドキュメントレベルの返還請求	0..n	Group																
ibg-21	1	DOCUMENT LEVEL CHARGES	ドキュメントレベルの追加請求	0..n	Group																
ibg-39	1	INVOICE TOTAL TAX	消費税合計金額	0..1	Group																
ibt-110	2	Invoice total TAX amount	消費税合計金額	1..1	Amount									30.87							
ibt-110-1	3	Currency code	通貨コード	1..1	Code									EUR							
ibg-23	1	TAX BREAKDOWN	消費税内訳情報	1..n	Group																
ibt-116	2	TAX category taxable amount	課税分類毎の課税基準額	1..1	Amount										147.00						
ibt-116-1	3	Currency code	通貨コード	1..1	Code										EUR						
ibt-117	2	TAX category tax amount	課税分類毎の消費税額	1..1	Amount										30.87						
ibt-117-1	3	Currency code	通貨コード	1..1	Code										EUR						
ibt-118	2	TAX category code 	課税分類コード	1..1	Code										S						
ibt-119	2	TAX category rate	課税分類毎の税率	0..1	Percent										21						
ibt-188	2	Tax Scheme	税スキーマ	0..1	Code										VAT						
ibg-22	1	DOCUMENT TOTALS	請求書総合計金額	1..1	Group																
ibt-106	2	Sum of Invoice line net amount	明細行金額(税抜)の合計	1..1	Amount											147.00					
ibt-106-1	3	Currency code	通貨コード	1..1	Code											EUR					
ibt-109	2	Invoice total amount without TAX	請求書合計金額(税抜)	1..1	Amount											147.00					
