							ibt-001	ibt-003	ibt-005	ibt-013	ibt-020	ibt-022	ibt-024	ibt-027	ibt-028	ibt-035	ibt-037	ibt-038	ibt-040	ibt-041	ibt-042	ibt-043	ibt-044	ibt-050	ibt-051	ibt-052	ibt-053	ibt-054	ibt-055	ibt-056	ibt-057	ibt-058	ibt-073	ibt-074	ibt-081	ibt-084	ibt-086	ibt-090	ibt-106	ibt-106-1	ibt-109	ibt-109-1	ibt-111	ibt-111-1	ibt-112	ibt-112-1	ibt-115	ibt-115-1	ibt-116	ibt-116-1	ibt-117	ibt-117-1	ibt-118-1	ibt-118	ibt-120	ibt-126	ibt-129	ibt-129-1	ibt-131	ibt-131-1	ibt-132	ibt-146	ibt-146-1	ibt-151	ibt-153	ibt-154	ibt-155	ibt-167	ibt-168
							Invoice number 	Invoice type code 	Invoice currency code	Purchase order reference	Payment terms	Invoice note	Specification identifier	Seller name	Seller trading name	Seller address line 1 	Seller city	Seller post code	Seller country code 	Seller contact point 	Seller contact telephone number	Seller contact email address	Buyer name 	Buyer address line 1 	Buyer address line 2	Buyer city	Buyer post code	Buyer country subdivision 	Buyer country code 	Buyer contact point 	Buyer contact telephone number	Buyer contact email address	Invoicing period start date	Invoicing period end date	Payment means type code	Payment account identifier	Payment service provider identifier	Bank assigned creditor identifier	Sum of Invoice line net amount	Sum of Invoice line net amount	Invoice total amount without TAX	Invoice total amount without TAX	Invoice total TAX amount in accounting currency	Invoice total TAX amount in accounting currency	Invoice total amount with TAX	Invoice total amount with TAX	Amount due for payment	Amount due for payment	TAX category taxable amount	TAX category taxable amount	TAX category tax amount	TAX category tax amount		TAX category code 	TAX exemption reason text	Invoice line identifier	Invoiced quantity	Invoiced quantity	Invoice line net amount 	Invoice line net amount 	Referenced purchase order line reference	Item net price	Item net price	Invoiced item TAX category code	Item name 	Item description 	Item Seller's identifier	Tax Scheme	Invoice issue time
							/Invoice/cbc:ID	/Invoice/cbc:InvoiceTypeCode	/Invoice/cbc:DocumentCurrencyCode	/Invoice/cac:OrderReference/cbc:ID	/Invoice/cac:PaymentTerms/cbc:Note	/Invoice/cbc:Note	/Invoice/cbc:CustomizationID	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail	/Invoice/cac:InvoicePeriod/cbc:StartDate	/Invoice/cac:InvoicePeriod/cbc:EndDate	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID	/Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount	/Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount	/Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount	/Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount	/Invoice/cac:TaxTotal/cbc:TaxAmount	/Invoice/cac:TaxTotal/cbc:TaxAmount	/Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount	/Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount	/Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount	/Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:ID	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReason	/Invoice/cac:InvoiceLine/cbc:ID	/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity	/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity	/Invoice/cac:InvoiceLine/cbc:LineExtensionAmount	/Invoice/cac:InvoiceLine/cbc:LineExtensionAmount	/Invoice/cac:InvoiceLine/cac:OrderLineReference/cbc:LineID	/Invoice/cac:InvoiceLine/cac:Price/cbc:PriceAmount	/Invoice/cac:InvoiceLine/cac:Price/cbc:PriceAmount	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID	/Invoice/cac:InvoiceLine/cac:Item/cbc:Name	/Invoice/cac:InvoiceLine/cac:Item/cbc:Description	/Invoice/cac:InvoiceLine/cac:Item/cac:SellersItemIdentification/cbc:ID	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme/cbc:ID	/Invoice/cbc:IssueDate
				ibg-00____			INVOICE_test_7	380	SEK			Testscenario 7	urn:cen.eu:en16931:2017																																																								2013-03-11
ibg-14				ibg-00_ibg-14___	INVOICING PERIOD 																												2013-01-01	2013-12-31																																			
				ibg-00____						Order_9988_x																																																											
ibg-04				ibg-00_ibg-04___	SELLER										Civic Service Centre																							5532331183																															
ibg-04		ibg-05		ibg-00_ibg-04__ibg-05_	SELLER	SELLER POSTAL ADDRESS										Main street 2, Building 4	Big city	54321	SE																																																		
ibg-04				ibg-00_ibg-04___	SELLER									The Sellercompany Incorporated																																																							
ibg-04		ibg-06		ibg-00_ibg-04__ibg-06_	SELLER	SELLER CONTACT 														Anthon Larsen	4698989898	Anthon@SellerCompany.se																																															
