						------	------	ibg-01	ibg-14	ibg-03	ibg-24	ibg-24	ibg-04	ibg-04	ibg-07	ibg-10	ibg-11	ibg-13	ibg-16	ibg-16	ibg-33	ibg-20	ibg-21	ibg-21	ibg-39	ibg-39	ibg-23	ibg-23	ibg-22	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25
								請求書注釈	請求期間	先行請求書への参照	添付書類	添付書類	販売者	販売者	発注者	支払先	販売者の納税管理人	納入先	支払手段	支払手段	支払条件	ドキュメントレベルの返還請求	ドキュメントレベルの追加請求	ドキュメントレベルの追加請求	消費税合計金額	消費税合計金額	消費税内訳情報	消費税内訳情報	請求書総合計金額	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行
						-	-	0	-	0	0	1	-	-	-	-	-	-	0	0	0	0	0	1	-	-	0	1	-	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2
						------	------	------	------	------	------	------	------	------	------	------	------	------	------	ibg-19	------	------	------	------	------	------	------	------	------	------	------	ibg-26	ibg-36	ibg-27	ibg-28	ibg-28	ibg-31	ibg-30	ibg-30	ibg-32	ibg-29	------	ibg-26	ibg-36	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29
																				自動口座引落												明細行の期間	発注明細行参照	明細行の返還請求	明細行の追加請求	明細行の追加請求	品目情報	明細行税額情報	明細行税額情報	品目属性	取引価格詳細		明細行の期間	発注明細行参照	品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細
						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	1	-	0	0	0	-	-	-	-	-	0	-	-	-	0	-
ibg-02	1	PROCESS CONTROL	プロセスコントロール	1..1	Group																																														
ibt-024	2	Specification identifier	仕様識別子	1..1	ID		urn:cen.eu:en16931:2017																																												
ibt-023	2	Business process type	ビジネスプロセスタイプ	0..1	Text		1																																												
ibt-001	1	Invoice number 	請求書番号	1..1	ID		TOSL110																																												
ibt-002	1	Invoice issue date 	請求書発行日	1..1	Date		2013-04-10																																												
ibt-009	1	Payment due date 	支払期日	0..1	Date		2013-05-10																																												
ibt-003	1	Invoice type code 	請求書タイプコード	1..1	Code		380																																												
ibg-01	1	INVOICE NOTE	請求書注釈	0..n	Group																																														
ibt-021	2	Invoice note subject code	請求書注釈表題コード	0..1	Text			Ordered through our website#Ordering information																																											
ibt-005	1	Invoice currency code	請求書通貨コード	1..1	Code																																														
