,,,,,ibg-23,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25
,,,,,TAX BREAKDOWN,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE
,,,,,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,7,8,9
,,,,,,,ibg-32,ibg-32,ibg-32,ibg-32,,ibg-32,ibg-32,ibg-32,ibg-32,,ibg-32,ibg-32,ibg-32,ibg-32,,ibg-32,ibg-32,ibg-32,ibg-32,,ibg-32,ibg-32,ibg-32,ibg-32,,ibg-32,ibg-32,ibg-32,ibg-32,,,,
,,,,,,,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,ITEM ATTRIBUTES,,,,
,,,,,,,0,1,2,3,,0,1,2,3,,0,1,2,3,,0,1,2,3,,0,1,2,3,,0,1,2,3,,,,
ibt-001,1,1..1,Invoice number,1100512149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-002,1,1..1,Invoice issue date ,2014-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-003,1,1..1,Invoice type code ,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-005,1,1..1,Invoice currency code,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-007,1,0..1,TAX point date,2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-009,1,0..1,Payment due date ,2014-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibg-33,1,0..n,INVOICE TERMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-020,2,0..1,Payment terms,Enexis brengt wettelijke rente in rekening over te laat betaalde\n            facturen. Kijk voor informatie op www.enexis.nl/rentenota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
