,,,,,ibg-23,ibg-23,ibg-23,ibg-24,ibg-24,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25
,,,,,TAX BREAKDOWN,TAX BREAKDOWN,TAX BREAKDOWN,ADDITIONAL SUPPORTING DOCUMENTS,ADDITIONAL SUPPORTING DOCUMENTS,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE
,,,,,0,1,2,0,1,0,1,2,3,4
ibt-001,1,1..1,Invoice number,TOSL108,,,,,,,,,,
ibt-002,1,1..1,Invoice issue date ,2013-06-30,,,,,,,,,,
ibt-003,1,1..1,Invoice type code ,380,,,,,,,,,,
ibt-005,1,1..1,Invoice currency code,NOK,,,,,,,,,,
ibt-007,1,0..1,TAX point date,2013-06-30,,,,,,,,,,
ibt-009,1,0..1,Payment due date ,2013-07-20,,,,,,,,,,
ibt-012,1,0..1,Contract reference ,Contract321,,,,,,,,,,
ibt-013,1,0..1,Purchase order reference,123,,,,,,,,,,
ibt-019,1,0..1,Buyer accounting reference,Project cost code 123,,,,,,,,,,
ibg-33,1,0..n,INVOICE TERMS,,,,,,,,,,,
ibt-020,2,0..1,Payment terms,2 % discount if paid within 2 days Penalty percentage 10% from due date,,,,,,,,,,
ibg-01,1,0..n,INVOICE NOTE,,,,,,,,,,,
ibt-021,2,0..1,Invoice note subject code,,,,,,,,,,,
ibt-022,2,0..1,Invoice note,Ordered in our booth at the convention,,,,,,,,,,
ibg-02,1,1..1,PROCESS CONTROL,,,,,,,,,,,
ibt-023,2,0..1,Business process type,Invoicing on purchase order,,,,,,,,,,
ibt-024,2,1..1,Specification identifier,urn:peppol:pint:billing-3.0@jp:peppol-1,,,,,,,,,,
ibg-04,1,1..1,SELLER,,,,,,,,,,,
ibt-027,2,1..1,Seller name,Salescompany ltd.,,,,,,,,,,
ibt-029,2,0..n,Seller identifier ,1238764941386,,,,,,,,,,
ibt-029-1,3,0..1,Scheme identifier,0088,,,,,,,,,,
ibt-030,2,0..1,Seller legal registration identifier,123456789,,,,,,,,,,
ibt-031,2,0..1,Seller TAX identifier,NO123456789MVA,,,,,,,,,,
ibt-031-2,3,1..1,Tax scheme,VAT,,,,,,,,,,
ibt-032,2,0..1,Seller TAX registration identifier,NO123456789MVA,,,,,,,,,,
ibg-05,1,1..1,SELLER POSTAL ADDRESS,,,,,,,,,,,
ibt-035,3,0..1,Seller address line 1 ,Main street 34,,,,,,,,,,
ibt-036,3,0..1,Seller address line 2,Suite 123,,,,,,,,,,
ibt-037,3,0..1,Seller city,Big city,,,,,,,,,,
ibt-038,3,0..1,Seller post code,303,,,,,,,,,,
ibt-039,3,0..1,Seller country subdivision ,RegionA,,,,,,,,,,
ibt-040,3,1..1,Seller country code ,NO,,,,,,,,,,
ibg-06,2,0..1,SELLER CONTACT ,,,,,,,,,,,
ibt-041,3,0..1,Seller contact point ,Antonio Salesmacher,,,,,,,,,,
ibt-042,3,0..1,Seller contact telephone number,46211230,,,,,,,,,,
ibt-043,3,0..1,Seller contact email address,antonio@salescompany.no,,,,,,,,,,
ibg-07,1,1..1,BUYER ,,,,,,,,,,,
ibt-044,2,1..1,Buyer name ,The Buyercompany,,,,,,,,,,
ibt-046,2,0..n,Buyer identifier ,3456789012098,,,,,,,,,,
ibt-046-1,3,0..1,Scheme identifier,0088,,,,,,,,,,
ibt-047,2,0..1,Buyer legal registration identifier,987654321,,,,,,,,,,
ibt-048,2,0..1,Buyer TAX identifier,NO987654321MVA,,,,,,,,,,
ibg-08,2,1..1,BUYER POSTAL ADDRESS,,,,,,,,,,,
ibt-050,3,0..1,Buyer address line 1 ,Anystreet 8,,,,,,,,,,
ibt-051,3,0..1,Buyer address line 2,Back door,,,,,,,,,,
ibt-052,3,0..1,Buyer city,Anytown,,,,,,,,,,
ibt-053,3,0..1,Buyer post code,101,,,,,,,,,,
ibt-054,3,0..1,Buyer country subdivision ,RegionB,,,,,,,,,,
ibt-055,3,1..1,Buyer country code ,NO,,,,,,,,,,
ibg-09,2,0..1,BUYER CONTACT,,,,,,,,,,,
ibt-056,3,0..1,Buyer contact point ,John Doe,,,,,,,,,,
ibt-057,3,0..1,Buyer contact telephone number,5121230,,,,,,,,,,
ibt-058,3,0..1,Buyer contact email address,john@buyercompany.no,,,,,,,,,,
ibg-10,1,0..1,PAYEE,,,,,,,,,,,
ibt-059,2,1..1,Payee name ,Ebeneser Scrooge AS,,,,,,,,,,
ibt-060,2,0..1,Payee identifier ,2298740918237,,,,,,,,,,
ibt-060-1,3,0..1,Scheme identifier,0088,,,,,,,,,,
ibt-061,2,0..1,Payee legal registration identifier,989823401,,,,,,,,,,
ibg-11,1,0..1,SELLER TAX REPRESENTATIVE PARTY,,,,,,,,,,,
ibt-062,2,1..1,Seller tax representative name,Tax handling company AS,,,,,,,,,,
ibt-063,2,1..1,Seller tax representative TAX identifier,NO967611265MVA,,,,,,,,,,
ibg-12,2,1..1,SELLER TAX REPRESENTATIVE POSTAL ADDRESS,,,,,,,,,,,
ibt-064,3,0..1,Tax representative address line 1 ,Regent street,,,,,,,,,,
ibt-065,3,0..1,Tax representative address line 2,Front door,,,,,,,,,,
