						------	------	ibg-01	ibg-04	ibg-07	ibg-16	ibg-16	ibg-16	ibg-16	ibg-39	ibg-23	ibg-23	ibg-22	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25
								請求書注釈	販売者	発注者	支払手段	支払手段	支払手段	支払手段	消費税合計金額	消費税内訳情報	消費税内訳情報	請求書総合計金額	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行
						-	-	0	-	-	0	0	1	1	-	0	1	-	0	0	0	0	10	10	10	10	11	11	11	11	12	12	12	12	13	13	13	13	14	14	14	14	15	15	15	15	16	16	16	16	17	17	17	17	18	18	18	18	19	19	19	19	1	1	1	1	2	2	2	2	3	3	3	3	4	4	4	4	5	5	5	5	6	6	6	6	7	7	7	7	8	8	8	8	9	9	9	9
						------	------	------	------	------	------	ibg-17	------	ibg-17	------	------	------	------	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29
												銀行振込		銀行振込						品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細
						-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-
ibg-02	1	PROCESS CONTROL	プロセスコントロール	1..1	Group																																																																																													
ibt-024	2	Specification identifier	仕様識別子	1..1	ID		urn:cen.eu:en16931:2017																																																																																											
ibt-001	1	Invoice number 	請求書番号	1..1	ID		12115118																																																																																											
ibt-002	1	Invoice issue date 	請求書発行日	1..1	Date		2015-01-09																																																																																											
ibt-009	1	Payment due date 	支払期日	0..1	Date		2015-01-09																																																																																											
