EN_Parent,EN_ID,EN_Level,EN_Card,EN_BT,EN_Desc,EN_DT,CII_Path,CII_Type,CII_Card,CII_Match,CII_Rules
root,BT-1,1,1..1,Invoice number,A unique identification of the Invoice.,I,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:ID,E,1..1,,
root,BT-2,1,1..1,Invoice issue date,The date when the Invoice was issued.,D,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString,E,1..1,,"@format =""102"""
root,BT-2,1,1..1,Invoice issue date,The date when the Invoice was issued.,D,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString/@format,A,,,"Only value ""102"""
root,BT-3,1,1..1,Invoice type code,A code specifying the functional type of the Invoice.,C,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:TypeCode,E,0..1,CAR-2,
root,BT-5,1,1..1,Invoice currency code,"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.",C,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceCurrencyCode,E,0..1,CAR-2,
root,BT-6,1,0..1,VAT accounting currency code,The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.,C,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:AppIicableHeadeiTradeSettlement/ram:TaxCurrencyCode,E,0..1,CAR-2,
root,BT-7,1,0..1,Value added tax point date,"The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directive...",D,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax/ram:TaxPointDate/udt:DateString,E,1..1,STR-2,"@format = ""102"""
root,BT-7,1,0..1,Value added tax point date,"The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directive...",D,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax/ram:TaxPointDate/udt:DateString/@format,A,,,"Only value ""102"""
root,BT-8,1,0..1,Value added tax point date code,The code of the date when the VAT becomes accountable for the Seller and for the Buyer.,C,/rsm:Crosslndustrylnvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax/ram:DueDateTypeCode,E,0..1,STR-2,
root,BT-9,1,0..1,Payment due date,The date when the payment is due.,D,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:DueDateDateTime/udt:DateTimeString,E,1..1,,"@format =""102"""
root,BT-9,1,0..1,Payment due date,The date when the payment is due.,D,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:DueDateDateTime/udt:DateTimeString/@format,A,,,"Only value ""102"""
root,BT-10,1,0..1,Buyer reference,An identifier assigned by the Buyer used for internal routing purposes.,T,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerReference,E,0..1,,
root,BT-11,1,0..1,Project reference,The identification of the project the invoice refers to.,0,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SpecifiedProcuringProject/ram:ID,E,1..1,,"Use ""Project reference as default value for Name."
root,BT-11,1,0..1,Project reference,The identification of the project the invoice refers to.,0,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SpecifiedProcuringProject/ram:Name,E,1..1,,"Use ""Project reference as default value for Name."
root,BT-12,1,0..1,Contract reference,The identification of a contract.,0,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:ContractReferencedDocument/ram:IssuerAssignedID,E,0..1,,
root,BT-13,1,0..1,Purchase order reference,"An identifier of a referenced purchase order, issued by the Buyer.",0,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerOrderReferencedDocument/ram:IssuerAssignedID,E,0..1,,
root,BT-14,1,0..1,Sales order reference,"An identifier of a referenced sales order, issued by the Seller.",0,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerOrderReferencedDocument/ram:IssuerAssignedID,E,0..1,,
