									ibt-024	ibt-023	ibt-001	ibt-002	ibt-009	ibt-003	ibt-021	ibt-007	ibt-005	ibt-019	ibt-073	ibt-074	ibt-013	ibt-012	ibt-018	ibt-123	ibt-125	ibt-125-1	ibt-125-2	ibt-124	ibt-029	ibt-029-1	ibt-035	ibt-036	ibt-037	ibt-038	ibt-039	ibt-040	ibt-031	ibt-032-1	ibt-027	ibt-030	ibt-041	ibt-042	ibt-043	ibt-046	ibt-046-1	ibt-050	ibt-051	ibt-052	ibt-053	ibt-054	ibt-055	ibt-048	ibt-048-1	ibt-044	ibt-047	ibt-056	ibt-057	ibt-058	ibt-060	ibt-060-1	ibt-059	ibt-061	ibt-062	ibt-064	ibt-065	ibt-066	ibt-067	ibt-068	ibt-069	ibt-063	ibt-063-1	ibt-072	ibt-071	ibt-071-1	ibt-075	ibt-076	ibt-077	ibt-078	ibt-079	ibt-080	ibt-081	ibt-083	ibt-084	ibt-086	ibt-020	ibt-092a	ibt-098	ibt-097	ibt-092	ibt-092-1	ibt-095	ibt-096	ibt-096a	ibt-099a	ibt-104	ibt-099	ibt-099-1	ibt-102	ibt-103	ibt-103a	ibt-110	ibt-110-1	ibt-116	ibt-116-1	ibt-117	ibt-117-1	ibt-118	ibt-119	ibt-120	ibt-188	ibt-106	ibt-106-1	ibt-109	ibt-109-1	ibt-112	ibt-112-1	ibt-107	ibt-107-1	ibt-108	ibt-108-1	ibt-113	ibt-113-1	ibt-115	ibt-115-1	ibt-126	ibt-127	ibt-129	ibt-130	ibt-131	ibt-131-1	ibt-133	ibt-134	ibt-135	ibt-132a	ibt-136a	ibt-139	ibt-136	ibt-136-1	ibt-141a	ibt-144	ibt-141	ibt-141-1	ibt-154	ibt-153	ibt-155	ibt-151	ibt-152	ibt-167	ibt-157	ibt-157-1	ibt-159	ibt-158	ibt-158-1	ibt-160	ibt-161	ibt-146	ibt-146-1	ibt-149	ibt-150	ibt-147a	ibt-147	ibt-147-1	ibt-148	ibt-148-1
									Specification identifier	Business process type	Invoice number 	Invoice issue date 	Payment due date 	Invoice type code 	Invoice note subject code	TAX point date	Invoice currency code	Buyer accounting reference	Invoicing period start date	Invoicing period end date	Purchase order reference	Contract reference 	Invoiced object identifier	Supporting document description	Attached document	Attached document Mime code	Attached document Filename	External document location	Seller identifier 	Scheme identifier	Seller address line 1 	Seller address line 2	Seller city	Seller post code	Seller country subdivision 	Seller country code 	Seller TAX identifier	Tax Scheme	Seller name	Seller legal registration identifier	Seller contact point 	Seller contact telephone number	Seller contact email address	Buyer identifier 	Scheme identifier	Buyer address line 1 	Buyer address line 2	Buyer city	Buyer post code	Buyer country subdivision 	Buyer country code 	Buyer TAX identifier	Tax Scheme	Buyer name 	Buyer legal registration identifier	Buyer contact point 	Buyer contact telephone number	Buyer contact email address	Payee identifier 	Scheme identifier	Payee name 	Payee legal registration identifier	Seller tax representative name	Tax representative address line 1 	Tax representative address line 2	Tax representative city	Tax representative post code	Tax representative country subdivision 	Tax representative country code 	Seller tax representative TAX identifier	Tax Scheme	Actual delivery date	Deliver to location identifier	Scheme identifier	Deliver to address line 1 	Deliver to address line 2	Deliver to city	Deliver to post code	Deliver to country subdivision 	Deliver to country code 	Payment means type code	Remittance information	Payment account identifier	Payment service provider identifier	Payment terms	Charge indicator	Document level allowance reason code	Document level allowance reason	Document level allowance amount	Currency code	Document level allowance TAX category code	Document level allowance TAX rate	Tax Scheme	Charge indicator	Document level charge reason	Document level charge amount	Currency code	Document level charge TAX category code	Document level charge TAX rate	Tax Scheme	Invoice total TAX amount	Currency code	TAX category taxable amount	Currency code	TAX category tax amount	Currency code	TAX category code 	TAX category rate	TAX exemption reason text	Tax Scheme	Sum of Invoice line net amount	Currency code	Invoice total amount without TAX	Currency code	Invoice total amount with TAX	Currency code	Sum of allowances on document level	Currency code	Sum of charges on document level	Currency code	Paid amount 	Currency code	Amount due for payment	Currency code	Invoice line identifier	Invoice line note	Invoiced quantity	Invoiced quantity unit of measure code	Invoice line net amount 	Currency code	Invoice line Buyer accounting reference	Invoice line period start date	Invoice line period end date	Referenced purchase order line identifier	Charge indicator	Invoice line allowance reason	Invoice line allowance amount	Currency code	Charge indicator	Invoice line charge reason	Invoice line charge amount	Currency code	Item description 	Item name 	Item Seller's identifier	Invoiced item TAX category code	Invoiced item TAX rate	Tax Scheme	Item standard identifier	Scheme identifier	Item country of origin	Item classification identifier	Scheme identifier	Item attribute name	Item attribute value 	Item net price	Currency code	Item price base quantity	Item price base quantity unit of measure code	Charge indicator	Item price discount	Currency code	Item gross price	Currency code
									仕様識別子	ビジネスプロセスタイプ	請求書番号	請求書発行日	支払期日	請求書タイプコード	請求書注釈表題コード	課税基準日	請求書通貨コード	発注者会計参照	請求期間開始日	請求期間終了日	購買発注参照	契約書参照	請求済みオブジェクト識別子	添付書類のタイプコード	添付書類	添付書類MIMEコード	添付書類ファイル名	添付書類の保管場所(外部)	販売者コード	スキーマ識別子	販売者住所欄1	販売者住所欄2	販売者住所 市区町村	販売者郵便番号	販売者住所 都道府県	販売者国コード	販売者 TAX ID	税スキーマ	販売者名称	販売者国際企業コード	販売者連絡先	販売者連絡先電話番号	販売者連絡先電子メールアドレス	発注者コード	スキーマ識別子	発注者住所欄1	発注者住所欄2	発注者住所 市区町村	発注者郵便番号	発注者住所 都道府県	発注者国コード	発注者の適格請求書発行事業者登録番号	税スキーマ	発注者名称	発注者国際企業コード	発注者連絡先	発注者連絡先電話番号	発注者連絡先電子メールアドレス	支払先コード	スキーマ識別子	支払先名称	支払先国際企業コード	納税管理人名称	納税管理人住所欄1	納税管理人住所欄2	納税管理人住所 市区町村	納税管理人郵便番号	納税管理人住所 都道府県	納税管理人国コード	納税管理人の税番号	税スキーマ	実際の納入日	納入先コード	スキーマ識別子	納入先住所欄1	納入先住所欄2	納入先住所 市区町村	納入先郵便番号	納入先住所 都道府県	納入先国コード	支払手段タイプコード	送金情報	支払先口座番号	支払先金融機関番号	支払条件	追加請求フラグ	ドキュメントレベルの返還請求の理由コード	ドキュメントレベルの返還請求の理由	ドキュメントレベルの返還請求金額	通貨コード	ドキュメントレベルの返還請求の課税分類コード	ドキュメントレベルの返還請求の税率	税スキーマ	追加請求フラグ	ドキュメントレベルの追加請求の理由	ドキュメントレベルの追加請求金額	通貨コード	ドキュメントレベルの追加請求の課税分類コード	ドキュメントレベルの追加請求の税率	税スキーマ	消費税合計金額	通貨コード	課税分類毎の課税基準額	通貨コード	課税分類毎の消費税額	通貨コード	課税分類コード	課税分類毎の税率	非課税/不課税理由	税スキーマ	明細行金額(税抜)の合計	通貨コード	請求書合計金額(税抜)	通貨コード	請求書合計金額(税込)	通貨コード	ドキュメントレベルの返還請求の合計	通貨コード	ドキュメントレベルの追加請求の合計	通貨コード	支払済金額	通貨コード	未払金額	通貨コード	明細行番号	明細行注釈	請求済数量	請求済数量の数量単位コード	明細行金額(税抜)	通貨コード	明細行バイヤー会計参照	明細行の期間開始日	明細行の期間終了日	発注明細行番号	追加請求フラグ	明細行の返還請求理由	明細行の返還請求金額(税抜)	通貨コード	追加請求フラグ	明細行の追加請求理由	明細行の追加請求金額(税抜)	通貨コード	品目摘要	品名	販売者による品目識別子	請求される品目に対する課税分類コード	請求される品目に対する税率	税スキーマ	品目標準識別子	スキーマ識別子	品目の原産国	品目分類識別子	スキーマ識別子	品目属性名	品目属性値	品目単価(割引後)(税抜)	通貨コード	品目単価基準数量	品目単価基準数量の数量単位コード	追加請求フラグ	品目単価割引(税抜)	通貨コード	品目単価(割引前)(税抜)	通貨コード
------	-	------	-	ibg-00_------_-_------_-	1000_0000_-_0000_-			ibg-00_------_------	urn:cen.eu:en16931:2017	Invoicing on purchase order	TOSL108	2013-06-30	2013-07-20	380		2013-06-30	NOK	Project cost code 123			123	Contract321																																																																																																																																														
ibg-01	0	------	-	ibg-00_ibg-01_0_------_-	1000_1080_0_0000_-	INVOICE NOTE		ibg-00_ibg-01_------							Ordered in our booth at the convention																																																																																																																																																					
ibg-14	-	------	-	ibg-00_ibg-14_-_------_-	1000_1160_-_0000_-	INVOICING PERIOD 		ibg-00_ibg-14_------											2013-06-01	2013-06-30																																																																																																																																																
ibg-24	0	------	-	ibg-00_ibg-24_0_------_-	1000_1290_0_0000_-	ADDITIONAL SUPPORTING DOCUMENTS		ibg-00_ibg-24_------															Doc1	Timesheet				http://www.suppliersite.eu/sheet001.html																																																																																																																																								
ibg-24	1	------	-	ibg-00_ibg-24_1_------_-	1000_1290_1_0000_-	ADDITIONAL SUPPORTING DOCUMENTS		ibg-00_ibg-24_------															Doc2	EHF specification	VGVzdGluZyBCYXNlNjQgZW5jb2Rpbmc=	application/pdf	test.pdf																																																																																																																																									
ibg-04	-	------	-	ibg-00_ibg-04_-_------_-	1000_1390_-_0000_-	SELLER		ibg-00_ibg-04_------																					1238764941386	0088	Main street 34	Suite 123	Big city	303	RegionA	NO	NO123456789MVA	VAT	Salescompany ltd.	123456789	Antonio Salesmacher	46211230	antonio@salescompany.no																																																																																																																									
ibg-07	-	------	-	ibg-00_ibg-07_-_------_-	1000_1690_-_0000_-	BUYER 		ibg-00_ibg-07_------																																				3456789012098	0088	Anystreet 8	Back door	Anytown	101	RegionB	NO	NO987654321MVA	VAT	The Buyercompany	987654321	John Doe	5121230	john@buyercompany.no																																																																																																										
ibg-10	-	------	-	ibg-00_ibg-10_-_------_-	1000_1940_-_0000_-	PAYEE		ibg-00_ibg-10_------																																																			2298740918237	0088	Ebeneser Scrooge AS	989823401																																																																																																						
ibg-11	-	------	-	ibg-00_ibg-11_-_------_-	1000_2000_-_0000_-	SELLER TAX REPRESENTATIVE PARTY		ibg-00_ibg-11_------																																																							Tax handling company AS	Regent street	Front door	Newtown	202	RegionC	NO	NO967611265MVA	VAT																																																																																													
ibg-13	-	------	-	ibg-00_ibg-13_-_------_-	1000_2130_-_0000_-	DELIVERY INFORMATION		ibg-00_ibg-13_------																																																																2013-06-15	6754238987643	0088	Deliverystreet 2	Side door	DeliveryCity	523427	RegionD	NO																																																																																				
ibg-16	0	------	-	ibg-00_ibg-16_0_------_-	1000_2260_0_0000_-	PAYMENT INSTRUCTIONS		ibg-00_ibg-16_------																																																																									30	0003434323213231																																																																																		
ibg-16	0	ibg-17	0	ibg-00_ibg-16_0_ibg-17_0	1000_2260_0_2320_0	PAYMENT INSTRUCTIONS	CREDIT TRANSFER 	ibg-00_ibg-16_ibg-17																																																																											NO9386011117947	DNBANOKK																																																																																
ibg-33	0	------	-	ibg-00_ibg-33_0_------_-	1000_2510_0_0000_-	INVOICE TERMS		ibg-00_ibg-33_------																																																																													2 % discount if paid within 2 days Penalty percentage 10% from due date																																																																															
ibg-20	0	------	-	ibg-00_ibg-20_0_------_-	1000_2630_0_0000_-	DOCUMENT LEVEL ALLOWANCES		ibg-00_ibg-20_------																																																																														0	88	Promotion discount	100.00	NOK	S	25	VAT																																																																							
ibg-21	0	------	-	ibg-00_ibg-21_0_------_-	1000_2750_0_0000_-	DOCUMENT LEVEL CHARGES		ibg-00_ibg-21_------																																																																																																																																																												
ibg-21	1	------	-	ibg-00_ibg-21_1_------_-	1000_2750_1_0000_-	DOCUMENT LEVEL CHARGES		ibg-00_ibg-21_------																																																																																						true	Freight	100.00	NOK	S	25	VAT																																																																
ibg-39	-	------	-	ibg-00_ibg-39_-_------_-	1000_2870_-_0000_-	INVOICE TOTAL TAX		ibg-00_ibg-39_------																																																																																													365.28	NOK																																																														
