									ibt-024	ibt-001	ibt-002	ibt-009	ibt-003	ibt-021	ibt-005	ibt-035	ibt-037	ibt-038	ibt-040	ibt-031	ibt-032-1	ibt-027	ibt-030	ibt-046	ibt-050	ibt-052	ibt-053	ibt-055	ibt-044	ibt-056	ibt-081	ibt-083	ibt-084	ibt-110	ibt-110-1	ibt-116	ibt-116-1	ibt-117	ibt-117-1	ibt-118	ibt-119	ibt-188	ibt-106	ibt-106-1	ibt-109	ibt-109-1	ibt-112	ibt-112-1	ibt-115	ibt-115-1	ibt-126	ibt-129	ibt-130	ibt-131	ibt-131-1	ibt-153	ibt-155	ibt-151	ibt-152	ibt-167	ibt-146	ibt-146-1
									Specification identifier	Invoice number 	Invoice issue date 	Payment due date 	Invoice type code 	Invoice note subject code	Invoice currency code	Seller address line 1 	Seller city	Seller post code	Seller country code 	Seller TAX identifier	Tax Scheme	Seller name	Seller legal registration identifier	Buyer identifier 	Buyer address line 1 	Buyer city	Buyer post code	Buyer country code 	Buyer name 	Buyer contact point 	Payment means type code	Remittance information	Payment account identifier	Invoice total TAX amount	Currency code	TAX category taxable amount	Currency code	TAX category tax amount	Currency code	TAX category code 	TAX category rate	Tax Scheme	Sum of Invoice line net amount	Currency code	Invoice total amount without TAX	Currency code	Invoice total amount with TAX	Currency code	Amount due for payment	Currency code	Invoice line identifier	Invoiced quantity	Invoiced quantity unit of measure code	Invoice line net amount 	Currency code	Item name 	Item Seller's identifier	Invoiced item TAX category code	Invoiced item TAX rate	Tax Scheme	Item net price	Currency code
									仕様識別子	請求書番号	請求書発行日	支払期日	請求書タイプコード	請求書注釈表題コード	請求書通貨コード	販売者住所欄1	販売者住所 市区町村	販売者郵便番号	販売者国コード	販売者 TAX ID	税スキーマ	販売者名称	販売者国際企業コード	発注者コード	発注者住所欄1	発注者住所 市区町村	発注者郵便番号	発注者国コード	発注者名称	発注者連絡先	支払手段タイプコード	送金情報	支払先口座番号	消費税合計金額	通貨コード	課税分類毎の課税基準額	通貨コード	課税分類毎の消費税額	通貨コード	課税分類コード	課税分類毎の税率	税スキーマ	明細行金額(税抜)の合計	通貨コード	請求書合計金額(税抜)	通貨コード	請求書合計金額(税込)	通貨コード	未払金額	通貨コード	明細行番号	請求済数量	請求済数量の数量単位コード	明細行金額(税抜)	通貨コード	品名	販売者による品目識別子	請求される品目に対する課税分類コード	請求される品目に対する税率	税スキーマ	品目単価(割引後)(税抜)	通貨コード
------	-	------	-	ibg-00_------_-_------_-	1000_0000_-_0000_-			ibg-00_------_------	urn:cen.eu:en16931:2017	12115118	2015-01-09	2015-01-09	380		EUR																																															
ibg-01	0	------	-	ibg-00_ibg-01_0_------_-	1000_1080_0_0000_-	INVOICE NOTE		ibg-00_ibg-01_------						Alle leveringen zijn franco. Alle prijzen zijn incl. BTW. Betalingstermijn: 14 dagen netto. Prijswijzigingen voorbehouden. Op al onze aanbiedingen, leveringen en overeenkomsten zijn van toepassing in de algemene verkoop en leveringsvoorwaarden. Gedeponeerd bij de K.v.K. te Amsterdam 25-04-'85##Delivery terms																																																
ibg-04	-	------	-	ibg-00_ibg-04_-_------_-	1000_1390_-_0000_-	SELLER		ibg-00_ibg-04_------								Postbus 7l	Velsen-Noord	1950 AB	NL	NL8200.98.395.B.01	VAT	De Koksmaat	57151520																																							
ibg-07	-	------	-	ibg-00_ibg-07_-_------_-	1000_1690_-_0000_-	BUYER 		ibg-00_ibg-07_------																10202	POSTBUS 367	HEEMSKERK	1960 AJ	NL	ODIN 59	Dhr. J BLOKKER																																
ibg-16	0	------	-	ibg-00_ibg-16_0_------_-	1000_2260_0_0000_-	PAYMENT INSTRUCTIONS		ibg-00_ibg-16_------																							30	Deb. 10202 / Fact. 12115118																														
ibg-16	0	ibg-17	0	ibg-00_ibg-16_0_ibg-17_0	1000_2260_0_2320_0	PAYMENT INSTRUCTIONS	CREDIT TRANSFER 	ibg-00_ibg-16_ibg-17																									NL57 RABO 0107307510																													
ibg-16	1	------	-	ibg-00_ibg-16_1_------_-	1000_2260_1_0000_-	PAYMENT INSTRUCTIONS		ibg-00_ibg-16_------																							30																															
ibg-16	1	ibg-17	0	ibg-00_ibg-16_1_ibg-17_0	1000_2260_1_2320_0	PAYMENT INSTRUCTIONS	CREDIT TRANSFER 	ibg-00_ibg-16_ibg-17																									NL03 INGB 0004489902																													
