				ibt-001	ibt-002	ibt-003	ibt-005	ibt-006	ibt-008	ibt-009	ibt-014	ibt-022	ibt-027	ibt-035	ibt-036	ibt-162	ibt-037	ibt-038	ibt-039	ibt-040	ibt-041	ibt-042	ibt-043	ibt-044	ibt-045	ibt-048	ibt-049	ibt-049-1	ibt-050	ibt-051	ibt-052	ibt-053	ibt-054	ibt-055	ibt-056	ibt-060-1	ibt-061	ibt-061-1	ibt-070	ibt-072	ibt-075	ibt-076	ibt-077	ibt-078	ibt-080	ibt-099	ibt-099-1	ibt-104	ibt-099a	ibt-106	ibt-106-1	ibt-107	ibt-107-1	ibt-108	ibt-108-1	ibt-109	ibt-102	ibt-103	ibt-109-1	ibt-110	ibt-110-1	ibt-112	ibt-112-1	ibt-116	ibt-117	ibt-118	ibt-119	ibt-126	ibt-129	ibt-130	ibt-131	ibt-183	ibt-136a	ibt-136	ibt-137	ibt-138	ibt-139	ibt-146	ibt-146-1	ibt-149	ibt-150	ibt-151	ibt-152	ibt-166	ibt-167	ibt-153	ibt-160	ibt-161
				000016	2003-03-04	380	JPY	JPY	3	2003-03-20	AA-123-AA																																																																													
ibg-01												注：＃印は軽減税率対象商品																																																																												
ibg-04													株式会社 ○○商事																																																																											
ibg-04		ibg-05												東京都新宿区	四谷4-29-X	〇〇商事ビル	新宿区	〒160-0044	記載なし？	記載なし																																																																				
ibg-04		ibg-06																			青木　志郎	03-3xxx-0001	四谷の住所																																																																	
ibg-07																								株式会社 藤山物産 札幌支社	株式会社 藤山物産	T〇〇〇〇	(Open Peppolが発行したID)	(Open Peppolに相当するID)																																																												
ibg-07		ibg-08																											北海道札幌市北区	北十二条西76-X	札幌市	001-0012	北海道	JP																																																						
ibg-07		ibg-09																																	株式会社 藤山物産 札幌支社																																																					
ibg-10																																				30:Credit transfer	139670	20210320																																																		
ibg-13																																							株式会社 藤山物産 札幌支社	20210304																																																
ibg-13		ibg-15																																							北海道札幌市北区	北十二条西76-X	北海道札幌市	001-0012	JP																																											
ibg-20																																																																																								
ibg-21																																														17700	JPY	諸掛	true								S	10																														
ibg-22																																																		120000	JPY	10000	JPY	17700	JPY	127700			JPY	11970	JPY	139670	JPY																									
ibg-23	0																																																															87700	8770	S	10																					
ibg-23	1																																																															40000	3200	AA	8																					
ibg-25	0																																																																			10	1000	EA	30000	AA-123-AA																
ibg-25	0	ibg-29																																																																												30	JPY	1	EA							
ibg-25	0	ibg-30	0																																																																															S	10	30	0188(国税庁に相当するID)			
ibg-25	0	ibg-31																																																																																				原稿用紙（A4）		
ibg-25	0	ibg-32																																																																																					数量単位	枚
ibg-25	1																																																																			20	10	EA	40000																	
ibg-25	1	ibg-29																																																																												5000	JPY	1	EA							
ibg-25	1	ibg-30	0																																																																															AA	8	320	0188(国税庁に相当するID)			
ibg-25	1	ibg-31																																																																																				XX新聞		
ibg-25	1	ibg-32																																																																																					数量単位	部
ibg-25	2																																																																			30	1	EA	50000																	
ibg-25	2	ibg-27	0																																																																						0	10000	50000	20	単品値引											
ibg-25	2	ibg-29																																																																												50000	JPY	1	EA							
ibg-25	2	ibg-30	0																																																																															S	10	50000	0188(国税庁に相当するID)			
ibg-25	2	ibg-31																																																																																				回転椅子　K		
ibg-25	2	ibg-32																																																																																					数量単位	個
