level	ref	datatype	occurrence	XPath
1000	1	cbc:UBLVersionID	Identifier	0..1	/Invoice/cbc:UBLVersionID
1010	1	cbc:CustomizationID	Identifier	0..1	/Invoice/cbc:CustomizationID
1020	1	cbc:ProfileID	Identifier	0..1	/Invoice/cbc:ProfileID
1030	1	cbc:ProfileExecutionID	Identifier	0..1	/Invoice/cbc:ProfileExecutionID
1040	1	cbc:ID	Identifier	1..1	/Invoice/cbc:ID
1050	1	cbc:CopyIndicator	Indicator	0..1	/Invoice/cbc:CopyIndicator
1060	1	cbc:UUID	Identifier	0..1	/Invoice/cbc:UUID
1070	1	cbc:IssueDate	Date	1..1	/Invoice/cbc:IssueDate
1080	1	cbc:IssueTime	Time	0..1	/Invoice/cbc:IssueTime
1090	1	cbc:DueDate	Date	0..1	/Invoice/cbc:DueDate
1100	1	cbc:InvoiceTypeCode	Code	0..1	/Invoice/cbc:InvoiceTypeCode
1110	1	cbc:Note	Text	0..n	/Invoice/cbc:Note
1120	1	cbc:TaxPointDate	Date	0..1	/Invoice/cbc:TaxPointDate
1130	1	cbc:DocumentCurrencyCode	Code	0..1	/Invoice/cbc:DocumentCurrencyCode
1140	1	cbc:TaxCurrencyCode	Code	0..1	/Invoice/cbc:TaxCurrencyCode
1150	1	cbc:PricingCurrencyCode	Code	0..1	/Invoice/cbc:PricingCurrencyCode
1160	1	cbc:PaymentCurrencyCode	Code	0..1	/Invoice/cbc:PaymentCurrencyCode
1170	1	cbc:PaymentAlternativeCurrencyCode	Code	0..1	/Invoice/cbc:PaymentAlternativeCurrencyCode
1180	1	cbc:AccountingCostCode	Code	0..1	/Invoice/cbc:AccountingCostCode
1190	1	cbc:AccountingCost	Text	0..1	/Invoice/cbc:AccountingCost
1200	1	cbc:LineCountNumeric	Numeric	0..1	/Invoice/cbc:LineCountNumeric
1210	1	cbc:BuyerReference	Text	0..1	/Invoice/cbc:BuyerReference
1220	1	cac:InvoicePeriod	PeriodType	0..n	/Invoice/cac:InvoicePeriod
1230	2	cbc:StartDate	Date	0..1	/Invoice/cac:InvoicePeriod/cbc:StartDate
1240	2	cbc:StartTime	Time	0..1	/Invoice/cac:InvoicePeriod/cbc:StartTime
