ITCA_Path	level	ITCA_Card	EN_ID	EN_Level	EN_Card	EN_BT	EN_Desc	EN_DT			name	CCL_ID	共通EDI必須	インボイス必須	自動突合対応
/rsm:CrossIndustryInvoice	1								1	1	月締め請求メッセージ				
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext	2	1..1	BG-2	1	1..1	PROCESS CONTROL	A group of business terms providing information on the business process and rules applicable to the		2	2	取引設定クラス	UN01005479			
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter	3	0..1							3	5	取引プロセス設定クラス	UN01005481			
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter/ram:ID	4	0..1							4	7	取引プロセス識別子	UN01005472			
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter	3	0..n							5	×					
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter/ram:ID	4	0..1	BT-24	2	1..1	Specificati on identifier	An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms.	I	6	×					
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument	2	1..1							7	29	請求書文書クラス	UN01005861			
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:ID	3	1..1	BT-1	1	1..1	Invoice number	A unique identification of the Invoice.	I	8	30	請求書番号	UN01005862	〇		□
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:TypeCode	3	0..1	BT-3	1	1..1	Invoice type code	A code specifying the functional type of the Invoice.	C	9	32	請求書タイプコード	UN01005864	〇		□
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime	3	1..1							10	33	請求書発効日	UN01005865	〇		
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString	4		BT-2	1	1..1	Invoice issue date	The date when the Invoice was issued.	D	11	？					
