Path	Card.	ID	Level	Card.	BT	Desc.	DT
/Invoice							
/Invoice/cbc:CustomizationID	0..1	BT-24	2 	1..1	Specification identifier	"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms."	I
/Invoice/cbc:ProfileID	0..1	BT-23	2 	0..1	Business process type	"Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way."	T
/Invoice/cbc:ID	1..1	BT-1	1 	1..1	Invoice number	A unique identification of the Invoice.	I
/Invoice/cbc:IssueDate	1..1	BT-2	1 	1..1	Invoice issue date	The date when the Invoice issued.	D
/Invoice/cbc:DueDate	0..1	BT-9	1 	0..1	Payment date	The date when the payment is due.	D
/Invoice/cbc:InvoiceTypeCode	0..1	BT-3	1 	1..1	Invoice type code	A code specifying the functional type of the Invoice.	C
/Invoice/cbc:Note	0..n	BT-21	2 	0..1	Invoice note subject code	The subject of the following textual note.	C
/Invoice/cbc:Note	0..n	BT-22	2 	1..1	Invoice note	A textual note that gives unstructured information that is relevant to the Invoice as a whole.	T
/Invoice/cbc:TaxPointDate	0..1	BT-7	1 	0..1	Value added tax point date	"The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directive..."	D
/Invoice/cbc:DocumentCurrencyCode	0..1	BT-5	1 	1..1	Invoice currency code	"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency."	C
/Invoice/cbc:TaxCurrencyCode	0..1	BT-6	1 	0..1	VAT accounting currency code	The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.	C
/Invoice/cbc:AccountingCost	0..1	BT-19	1 	0..1	Buyer accounting reference	A textual value that specifies where to book the relevant data into the Buyer's financial accounts.	T
/Invoice/cbc:BuyerReference	0..1	BT-10	1 	0..1	Buyer reference	An identifier assigned by the Buyer used for internal routing purposes.	T
/Invoice/cac:InvoicePeriod	0..n	BG-14	2 	0..1	DELIVERY INVOICE PERIOD	A group of business terms providing information on the invoice period.	
