EN_Parent	EN_ID	EN_Level	EN_Card	EN_BT	EN_Desc	EN_DT	UBL_Path	UBL_Type	UBL_Card	UBL_Match	UBL_Rules
root	BT-1	1 	1..1	Invoice number	A unique identification of the Invoice.	I	/Invoice/cbc:ID	I	1..1		
root	BT-2	1 	1..1	Invoice issue date	The date when the Invoice was issued.	D	/Invoice/cbc:IssueDate	D	1..1		
root	BT-3	1 	1..1	Invoice type code	A code specifying the functional type of the Invoice.	C	/Invoice/cbc:InvoiceTypeCode	C	0..1	CAR-2	
root	BT-5	1 	1..1	Invoice currency code	"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency."	C	/Invoice/cbcDocumentCurrencyCode	C	0..1	CAR-2	
root	BT-6	1 	0..1	VAT accounting currency code	The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.	C	/Invoice/cbciTaxCurrencyCode	C	0..1	SEM-2	
root	BT-7	1 	0..1	Value added tax point date	"The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directiveÅc"	D	/Invoice/cbc:TaxPointDate	D	0..1	SEM-2	
root	BT-8	1 	0..1	Value added tax point date code	The code of the date when the VAT becomes accountable for the Seller and for the Buyer.	C	/Invoice/cac:InvoicePeriod/cbc:DescriptionCode	C	0..1	SEM-2	
root	BT-9	1 	0..1	Payment due date	The date when the payment is due.	D	/Invoice/cbc:DueDate	D	0..1		
root	BT-10	1 	0..1	Buyer reference	An identifier assigned by the Buyer used for internal routing purposes.	T	/Invoice/cbc:BuyerReference	T	0..1		
root	BT-11	1 	0..1	Project reference	The identification of the project the invoice refers to.	0 	/Invoice/cac:ProjectReference/cbc:ID	I	0..n	CAR-3	
root	BT-12	1 	0..1	Contract reference	The identification of a contract.	0 	/Invoice/cac:ContractDocumentReference/cbc:ID	I	0..n	CAR-3	
root	BT-13	1 	0..1	Purchase order reference	"An identifier of a referenced purchase order, issued by the Buyer."	0 	/Invoice/cac:OrderReference/cbc:ID	I	0..1		
root	BT-14	1 	0..1	Sales order reference	"An identifier of a referenced sales order, issued by the Seller."	0 	/Invoice/cac:OrderReference/cbc:SalesOrderID	I	0..1		
root	BT-15	1 	0..1	Receiving advice reference	An identifier of a referenced receiving advice.	0 	/Invoice/cac:ReceiptDocumentReference/cbc:ID		0..n	CAR-3	
root	BT-16	1 	0..1	Despatch advice reference	An identifier of a referenced despatch advice.	0 	/Invoice/cac:DespatchDocumentReference/cbc:ID	I	0..n	CAR-3	
root	BT-17	1 	0..1	Tender or lot reference	The identification of the call for tender or lot the invoice relates to.	0 	/Invoice/cac:OriginatorDocumentReference/cbc:ID	I	0..n	CAR-3	
root	BT-18	1 	0..1	Invoiced object identifier	The identification of the call for tender or lot the invoice relates to.	I	/Invoice/cac:AdditionalDocumentReference/cbc:ID	I	0..n	CAR-3	with cbc:DocumentTypeCode = 130
BT-18	BT-18-1	2 	0..1	Scheme identifier	The identification scheme identifier of the Invoiced object identifier.	S	/Invoice/cac:AdditionalDocumentReference/cbc:ID/@schemeID	I	0..1		Code list UNTDID 1153
root	BT-19	1 	0..1	Buyer accounting reference	A textual value that specifies where to book the relevant data into the Buyer's financial accounts.	T	/Invoice/cbc:AccountingCost	T	0..1		
root	BT-20	1 	0..1	Payment terms	A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).	T	/Invoice/cac:PaymentTerms/cbc:Note	T	0..n	CAR-3	
root	BG-1	1 	0..n	INVOICE NOTE	"A group of business terms providing textual notes that are relevant for the invoice, together with an indication of the note subject."						
