SemanticSort	prent	ID	Level	BusinessTerm	BusinessTermJP	Card.	Data Type	SyntaxSort	xPath
3	ibg-00	ibt-001	1	Invoice number	請求書番号	1..1	Identifier	1020	/Invoice/cbc:ID
4	ibg-00	ibt-002	1	Invoice issue date	請求書発行日	1..1	Date	1030	/Invoice/cbc:IssueDate
5	ibg-00	ibt-168	1	Invoice issue time	請求書発行時刻	0..1	Time	1035	/Invoice/cbc:IssueTime
6	ibg-00	ibt-003	1	Invoice type code	請求書タイプコード	1..1	Code	1050	/Invoice/cbc:InvoiceTypeCode
7	ibg-00	ibt-005	1	Invoice currency code	請求書通貨コード	1..1	Code	1090	/Invoice/cbc:DocumentCurrencyCode
8	ibg-00	ibt-006	1	Tax accounting currency	税会計報告用通貨コード	0..1	Code	1100	/Invoice/cbc:TaxCurrencyCode
9	ibg-00	ibt-007	1	TAX point date	課税基準日	0..1	Date	1080	/Invoice/cbc:TaxPointDate
10	ibg-00	ibt-008	1	TAX point date code	課税基準日コード	0..1	Code	1160	/Invoice/cac:InvoicePeriod/cbc:DescriptionCode
11	ibg-00	ibt-009	1	Payment due date	支払期日	0..1	Date	1040	/Invoice/cbc:DueDate
12	ibg-00	ibt-010	1	Buyer reference	買い手参照	0..1	Text	1120	/Invoice/cbc:BuyerReference
								1430	/Invoice/cac:ProjectReference
14	ibg-00	ibt-011	1	Project reference	プロジェクト参照	0..1	Document Reference	1440	/Invoice/cac:ProjectReference/cbc:ID
								1300	/Invoice/cac:ContractDocumentReference
16	ibg-00	ibt-012	1	Contract reference	契約書参照	0..1	Document Reference	1310	/Invoice/cac:ContractDocumentReference/cbc:ID
								1170	/Invoice/cac:OrderReference
18	ibg-00	ibt-013	1	Purchase order reference	購買発注参照	0..1	Document Reference	1180	/Invoice/cac:OrderReference/cbc:ID
19	ibg-00	ibt-014	1	Sales order reference	受注参照	0..1	Document Reference	1190	/Invoice/cac:OrderReference/cbc:SalesOrderID
								1260	/Invoice/cac:ReceiptDocumentReference
21	ibg-00	ibt-015	1	Receiving advice reference	受取通知書(検収書)参照	0..1	Document Reference	1270	/Invoice/cac:ReceiptDocumentReference/cbc:ID
								1240	/Invoice/cac:DespatchDocumentReference
23	ibg-00	ibt-016	1	Despatch advice reference	出荷案内書(納品書)参照	0..n	Document Reference	1250	/Invoice/cac:DespatchDocumentReference/cbc:ID
								1280	/Invoice/cac:OriginatorDocumentReference[not(cbc:DocumentTypeCode='130')]
25	ibg-00	ibt-017	1	Tender or lot reference	入札又はロット参照	0..1	Document Reference	1290	/Invoice/cac:OriginatorDocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:ID
								1340	/Invoice/cac:OriginatorDocumentReference[cbc:DocumentTypeCode='130']
27	ibg-00	ibt-018	1	Invoiced object identifier	請求されるオブジェクトID	0..1	Identifier	1345	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID
28	ibt-018	ibt-018-1	2	The identification scheme identifier of the Invoiced object identifier	請求されるオブジェクトIDのスキーマID	0..1	Scheme	1350	/Invoice/cac:AdditionalDocumentReference/cbc:ID/@schemeID
								1355	/Invoice/cac:AdditionalDocumentReference/cbc:DocumentTypeCode
30	ibg-00	ibt-019	1	Buyer accounting reference	買い手会計参照	0..1	Text	1110	/Invoice/cbc:AccountingCost
31	ibg-00	ibg-33	1	INVOICE TERMS	支払条件	0..n	Group	2700	/Invoice/cac:PaymentTerms
32	ibg-33	ibt-020	2	Payment terms	支払条件	0..1	Text	2710	/Invoice/cac:PaymentTerms/cbc:Note
33	ibg-33	ibt-187	2	Terms payment instructions ID	支払条件指示ID	0..1	Identifier	2712	/Invoice/cac:PaymentTerms/cbc:PaymentMeansID
34	ibg-33	ibt-176	2	Terms amount	支払条件金額	0..1	Amount	2713	/Invoice/cac:PaymentTerms/cbc:Amount
35	ibg-33	ibt-177	2	Terms installment due date	分割支払支払期日	0..1	Date	2714	/Invoice/cac:PaymentTerms/cbc:InstallmentDueDate
36	ibg-00	ibg-01	1	INVOICE NOTE	請求書注釈	0..n	Group		
37	ibg-01	ibt-021	2	Invoice note subject code	請求書注釈表題コード	0..1	Text	1060	/Invoice/cbc:Note
38	ibg-01	ibt-022	2	Invoice note	請求書注釈内容	0..1	Text	1070	/Invoice/cbc:Note
39	ibg-00	ibg-02	1	PROCESS CONTROL	プロセスコントロール	1..1	Group		
40	ibg-02	ibt-023	2	Business process type (Profile ID)	ビジネスプロセスタイプ  (Profile ID)	0..1	Text	1010	/Invoice/cbc:ProfileID
41	ibg-02	ibt-024	2	Specification identifier (Customization ID)	仕様ID (Customization ID)	1..1	Identifier	1000	/Invoice/cbc:CustomizationID
42	ibg-00	ibg-03	1	PRECEDING INVOICE REFERENCE	先行請求書への参照	0..n	Group	1200	/Invoice/cac:BillingReference
								1210	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference
44	ibg-03	ibt-025	2	Preceding Invoice reference	先行請求書への参照	1..1	Document Reference	1220	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID
45	ibg-03	ibt-026	2	Preceding Invoice issue date	先行請求書発行日	0..1	Date	1230	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate
46	ibg-00	ibg-04	1	SELLER	売り手		Group	1450	/Invoice/cac:AccountingSupplierParty
								1460	/Invoice/cac:AccountingSupplierParty/cac:Party
								1700	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity
49	ibg-04	ibt-027	2	Seller name	売り手名称	1..1	Text	1710	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
								1530	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName
51	ibg-04	ibt-028	2	Seller trading name	売り手商号	0..1	Text	1540	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name
								1490	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification
53	ibg-04	ibt-029	2	Seller identifier	売り手ID	0..n	Identifier	1500	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID
54	ibt-029	ibt-090	3	Bank assigned creditor identifier	銀行が割り当てた債権者ID	0..1	Identifier	1520	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID
55	ibt-029	ibt-029-1	3	Scheme identifier	スキーマID	0..1	Scheme	1510	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID
56		ibt-090-1	4	Scheme identifier	スキーマID	0..1	Scheme	1522	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID
57	ibg-04	ibt-030	2	Seller legal registration identifier	売り手法的企業ID	0..1	Identifier	1720	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
58	ibt-030	ibt-030-1	3	Scheme identifier	スキーマID	0..1	Scheme	1730	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
								1650	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme
60	ibg-04	ibt-031	2	Seller TAX identifier	売り手税ID	0..1	Identifier	1660	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
61	ibg-04	ibt-032	2	Seller TAX registration identifier	売り手税登録ID	0..1	Identifier	1670	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
								1680	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme
63	ibg-04	ibt-032a	2	Tax Scheme	税スキーマ	0..1	Scheme	1690	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
64	ibg-04	ibt-033	2	Seller additional legal information	売り手追加法的情報	0..1	Text	1740	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm
65	ibg-04	ibt-034	2	Seller electronic address	売り手電子アドレス	0..1	Identifier	1470	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID
66	ibt-034	ibt-034-1	3	Scheme identifier	スキーマID	1..1	Scheme	1480	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID
67	ibg-04	ibg-05	2	SELLER POSTAL ADDRESS	売り手住所	1..1	Group	1550	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress
68	ibg-05	ibt-035	3	Seller address line 1	売り手住所欄1	0..1	Text	1560	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName
69	ibg-05	ibt-036	3	Seller address line 2	売り手住所欄2	0..1	Text	1570	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName
								1600	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine
71	ibg-05	ibt-162	3	Seller address line 3	売り手住所欄3	0..1	Text	1610	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line
72	ibg-05	ibt-037	3	Seller city	売り手住所 市区町村	0..1	Text	1580	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName
73	ibg-05	ibt-038	3	Seller post code	売り手郵便番号	0..1	Text	1590	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone
