Sem Sort,ID,Level,Business term name ,日本語訳,Term semantic definition,説明,Additional explanation,追加説明,Example Value (値の例),Card.,Data Type,Section,BIS Extension,Synt Sort,UBL syntax binding Xpath,selectors,Attributes - adjustments,Codel list,Cardinality,Cardinality Alignment
1250,ibt-024,2,Specification identifier,仕様ID (Customization ID),"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms.",取引プロセスのID。セマンティックコンテンツ、カーディナリティや、インスタンス文書に含まれているデータが準拠すべきビジネスルールに関するルール一式を含む、仕様を識別する。,"Standard japanese Invoice BIS (equal to the Peppol BIS Billing)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1\n\n
Standard japanese Debit Note BIS\nProfile ID: urn:peppol:bis:debitnote\nDebit Note Customization ID: urn:peppol:pint:debitnote-3.0@jp:peppol-1\n\nJapanese Summary Invoice, pattern 1 BIS (Process contains Invoice transactions with additional rules)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1@jp:suminvpt1-1","都度請求書 (Peppol BIS Billingと同じ)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1\n\n
納品書\nProfile ID: urn:peppol:bis:debitnote\nDebit Note Customization ID: urn:peppol:pint:debitnote-3.0@jp:peppol-1\n\n合算請求書パターン１ (業務手順に追加条件あり)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1@jp:suminvpt1-1",urn:peppol:pint:billing-3.0@jp:peppol-1,1..1,Identifier,Shared,,1000,/Invoice/cbc:CustomizationID,,,,0..1,CAR-2
1240,ibt-023,2,Business process type,ビジネスプロセスタイプ  (Profile ID),"Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way.",取引プロセスの名称。買い手が適切な方法で請求書を処理することができるように、取引が行われたビジネスプロセスを識別する。,"Standard japanese Invoice BIS (equal to the Peppol BIS Billing)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1\n\n
Standard japanese Debit Note BIS\nProfile ID: urn:peppol:bis:debitnote\nDebit Note Customization ID: urn:peppol:pint:debitnote-3.0@jp:peppol-1\n\nJapanese Summary Invoice, pattern 1 BIS (Process contains Invoice transactions with additional rules)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1@jp:suminvpt1-2","都度請求書 (Peppol BIS Billingと同じ)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1\n\n
納品書\nProfile ID: urn:peppol:bis:debitnote\nDebit Note Customization ID: urn:peppol:pint:debitnote-3.0@jp:peppol-1\n\n合算請求書パターン１ (業務手順に追加条件あり)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1@jp:suminvpt1-2",urn:peppol:bis:billing,0..1,Text,Shared,,1010,/Invoice/cbc:ProfileID,,,,0..1,
1000,ibt-001,1,Invoice number,請求書番号,A unique identification of the Invoice.,売り手が発番した請求書を識別する番号または文字列。売り手が発番した、請求書を一意に識別する番号。,,,16,1..1,Identifier,Shared,,1020,/Invoice/cbc:ID,,,,1..1,
1010,ibt-002,1,Invoice issue date ,請求書発行日,The date when the Invoice was issued. ,請求書の発行日付、または請求書の書面上の発行日付。,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,37684,1..1,Date,Shared,,1030,/Invoice/cbc:IssueDate,,,,1..1,
1015,ibt-168,1,Invoice issue time,請求書発行時刻,The time of day when an invoice was issued,請求書の発行時刻。,,,,0..1,Time,Shared,Added,1035,/Invoice/cbc:IssueTime,,,,1..1,CAR-1
1070,ibt-009,1,Payment due date ,支払期日,The date when the payment is due.,支払条件で示された支払期日。,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,37700,0..1,Date,Shared,,1040,/Invoice/cbc:DueDate,,,,0..1,
1020,ibt-003,1,Invoice type code ,請求書タイプコード,A code specifying the functional type of the Invoice.,この文書のタイプを識別するコード。請求書の機能を特定するためのコード。,,UNTDID 1001 Peppol BIS Billing 3.0(https://docs.peppol.eu/poacc/billing/3.0/bis/#codelist)では、\n/ ubl:Invoice / cbc:InvoiceTypeCode\n80 Debit note related to goods or services\n82 Metered services invoice\n84 Debit note related to financial adjustments\n380 Commercial invoice\n383 Debit note\n386 Prepayment invoice\n393 Factored invoice\n395 Consignment invoice\n575 Insurer's invoice\n623 Forwarder's invoice\n780 Freight invoice\n/ ubl:CreditNote / cbc:CreditNoteTypeCode\n81 Credit note related to goods or services\n83 Credit note related to financial adjustments\n381 Credit note\n396 Factored credit note\n532 Forwarder's credit note,380,1..1,Code,Shared,,1050,/Invoice/cbc:InvoiceTypeCode,,,UNCL1001-inv,0..1,CAR-2
1210,ibt-021,2,Invoice note subject code,請求書注釈表題コード,The subject of the textual note in EN BT-22.,注釈の表題。,,,,0..1,Text,Aligned,,1060,/Invoice/cbc:Note,Use #subjectcode# Code list UNTDID 4451,Use #subjectcode# Code list UNTDID 4451,,0..n,CAR-3
1220,ibt-022,2,Invoice note,請求書注釈内容,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,注釈の内容を入力するフリースペース。,,,,0..1,Text,Shared,,1070,/Invoice/cbc:Note,,Use #subjectcode# Code list UNTDID 4451,,0..n,CAR-3
1050,ibt-007,1,TAX point date,課税基準日,"The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the TAX directive.",請求書の日付とは異なる日付が、商取引の課税対象とされる基準日。税法に基づき、請求書発行日付とは異なる日付で、売り手、買い手が税を記帳する場合の、その日付。,"The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. To present ""date of the transfer of taxable assets, etc"", in case that ""date of the transfer of taxable assets, etc"" is a single date,  ibt-007 tax point date can be used. In case that ""date of the transfer of taxable assets, etc"" is a period, ibg-14 INVOICING PERIOD on document level can be used. ibg-14 defines period during which the goods or services that are invoiced were provided. The main use case is for metered service. As example online data consumption or utililities but it can also be used for goods delivered during a period, as is the case for the summarized invoice. In the same way IBG-26 INVOICE LINE PERIOD on line level can be used when there are different dates for each line.",日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。課税資産の譲渡等の日を表すために、課税資産の譲渡等の日が単一の日付の場合は、ibt-007 課税基準日の日付を使用できる。課税資産の譲渡等の日が期間の場合、ドキュメントレベルの IBG-14 請求期間を使用できる。IBG-14は、請求される商品またはサービスが提供された期間を定義している。主な使用例は、従量制サービスであり、 例としてはオンラインデータの消費あるいは電気ガス水道といった公益料金であるが、合算請求書のケースのように、期間中に提供された商品の場合にも使用できる。同様に、各行ごとに課税資産の譲渡等の日が異なる場合、請求書明細行レベルのIBG-26 請求書明細行の期間を使用できる。,,0..1,Date,Aligned,,1080,/Invoice/cbc:TaxPointDate,,,,0..1,
