seq	level	option	name	abbreviation	datatype	enumeration/pattern	occurrence	XPath
1000	0		Document	Document	BankToCustomerDebitCreditNotificationV08		1	/Document
1010	1		Bank To Customer Debit Credit Notification	BkToCstmrDbtCdtNtfctn	BankToCustomerDebitCreditNotificationV08		1	/Document/BkToCstmrDbtCdtNtfctn
1020	2		Group Header	GrpHdr	GroupHeader81		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr
1030	3		Message Identification	MsgId	Max35Text (xs:string)		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgId
1040	3		Creation Date Time	CreDtTm	ISODateTime (xs:dateTime)		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/CreDtTm
1050	3		Message Recipient	MsgRcpt	PartyIdentification135		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt
1060	4		Name	Nm	Max140Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Nm
1070	4		Postal Address	PstlAdr	PostalAddress24		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr
1080	5		Address Type	AdrTp	AddressType3Choice		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/AdrTp
1090	6	 ----- Chc	Code	Cd	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/AdrTp/Cd
1100	6	 ----- Chc	Proprietary	Prtry	GenericIdentification30		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/AdrTp/Prtry
1110	7		Identification	Id	Exact4AlphaNumericText (xs:string)	[a-zA-Z0-9]{4}	1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/AdrTp/Prtry/Id
1120	7		Issuer	Issr	Max35Text (xs:string)		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/AdrTp/Prtry/Issr
1130	7		Scheme Name	SchmeNm	Max35Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/AdrTp/Prtry/SchmeNm
1140	5		Department	Dept	Max70Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/Dept
1150	5		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/SubDept
1160	5		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/StrtNm
1170	5		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/BldgNb
1180	5		Building Name	BldgNm	Max35Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/BldgNm
1190	5		Floor	Flr	Max70Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/Flr
1200	5		Post Box	PstBx	Max16Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/PstBx
1210	5		Room	Room	Max70Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/Room
1220	5		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/PstCd
1230	5		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/TwnNm
1240	5		Town Location Name	TwnLctnNm	Max35Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/TwnLctnNm
1250	5		District Name	DstrctNm	Max35Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/DstrctNm
1260	5		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/CtrySubDvsn
1270	5		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/Ctry
1280	5		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/AdrLine
1290	4		Identification	Id	Party38Choice		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id
1300	5	 ---- Chc	Organisation Identification	OrgId	OrganisationIdentification29		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id/OrgId
1310	6		Any BIC	AnyBIC	AnyBICDec2014Identifier (xs:string)	[A-Z0-9]{4,4}[A-Z]{2,2}[A-Z0-9]{2,2}([A-Z0-9]{3,3}){0,1}	0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id/OrgId/AnyBIC
1320	6		LEI	LEI	LEIIdentifier (xs:string)	[A-Z0-9]{18,18}[0-9]{2,2}	0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id/OrgId/LEI
1330	6		Other	Othr	GenericOrganisationIdentification1		0..n	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id/OrgId/Othr
1340	7		Identification	Id	Max35Text (xs:string)		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id/OrgId/Othr/Id
1350	7		Scheme Name	SchmeNm	OrganisationIdentificationSchemeName1Choice		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id/OrgId/Othr/SchmeNm
