seq	level	option	name	abbreviation	datatype	enumeration/pattern	occurrence	XPath
1000	0		Document	Document	BankToCustomerDebitCreditNotificationV03		1	/Document
1010	1		Bank To Customer Debit Credit Notification	BkToCstmrDbtCdtNtfctn	BankToCustomerDebitCreditNotificationV03		1	/Document/BkToCstmrDbtCdtNtfctn
1020	2		Group Header	GrpHdr	GroupHeader58		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr
1030	3		Message Identification	MsgId	Max35Text (xs:string)		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgId
1040	3		Creation Date Time	CreDtTm	ISODateTime (xs:dateTime)		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/CreDtTm
1050	3		Message Recipient	MsgRcpt	PartyIdentification43		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt
1060	4		Name	Nm	Max140Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Nm
1070	4		Postal Address	PstlAdr	PostalAddress6		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr
1080	5		Address Type	AdrTp	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/AdrTp
1090	5		Department	Dept	Max70Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/Dept
1100	5		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/SubDept
1110	5		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/StrtNm
1120	5		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/BldgNb
1130	5		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/PstCd
1140	5		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/TwnNm
1150	5		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/CtrySubDvsn
1160	5		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/Ctry
1170	5		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/PstlAdr/AdrLine
1180	4		Identification	Id	Party11Choice		0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id
1190	5	 ---- Chc	Organisation Identification	OrgId	OrganisationIdentification8		1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id/OrgId
1200	6		Any BIC	AnyBIC	AnyBICIdentifier (xs:string)	[A-Z]{6,6}[A-Z2-9][A-NP-Z0-9]([A-Z0-9]{3,3}){0,1}	0..1	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id/OrgId/AnyBIC
1210	6		Other	Othr	GenericOrganisationIdentification1		0..n	/Document/BkToCstmrDbtCdtNtfctn/GrpHdr/MsgRcpt/Id/OrgId/Othr
