BR-1	An Invoice shall have a Specification identifier (BT-24).	Process control	BT-24
BR-2	An Invoice shall have an Invoice number (BT-1).	Invoice	BT-1
BR-3	An Invoice shall have an Invoice issue date (BT-2).	Invoice	BT-2
BR-4	An Invoice shall have an Invoice type code (BT-3).	Invoice	BT-3
BR-5	An Invoice shall have an Invoice currency code (BT-5),	Invoice	BT-5
BR-6	An Invoice shall contain the Seller name (BT-27).	Seller	BT-27
BR-7	An Invoice shall contain the Buyer name (BT-44).	Buyer	BT-44
BR-8	An Invoice shall contain the Seller postal address (BG-5).	Seller	BG-5
BR-9	The Seller postal address (BG-5) shall contain country code fBT-401.	Seller Postal Address	BT-40
BR-10	An Invoice shall contain the Buyer postal address (BG-8).	Buyer	BG-8
BR-11	The Buyer postal address shall contain a Buyer country code (BT-55).	Buyer Postal Address	BT-55
BR-12	An Invoice shall have the Sum of Invoice line net amount (BT-106).	Document totals	BT-106
BR-13	An Invoice shall have the Invoice total amount without VAT (BT-109).	Document totals	BT-109
BR-14	An Invoice shall have the Invoice total amount with VAT (BT-112).	Document totals	BT-112
BR-15	An Invoice shall have the Amount due for payment (BT115).	Document totals	BT-115
BR-16	An Invoice shall have at least one Invoice line (BG-25).	Invoice	BG-25
BR-17	The Payee name (BT-59) shall be provided in the Invoice, if the Payee (BG-10) is different from the Seller (BG-4),	Payee	BT-59
BR-18	The Seller tax representative name (BT-62) shall be provided in the Invoice, if the Seller (BG-4J has a Seller tax representative party (BG-11).	Seller tax representative	BT-62
BR-19	The Seller tax representative postal address (BG-12) shall be provided in the Invoice, if the Seller (BG-4) has a Seller tax representative party (BG-11).	Seller tax representative	BG-12
BR-20	The Seller tax representative postal address (BG-12) shall contain a Tax representative country code (BT-69), if the Seller fBG-4) has a Seller tax representative party (BG-	Seller tax representative postal address	BT-69
BR-21	Each Invoice line (BG-25) shall have an Invoice line identifier (BT-126).	Invoice Line	BT-126
BR-22	Each Invoice line (BG-25) shall have an Invoiced quantity (BT-129).	Invoice Line	BT-129
BR-23	An Invoice line (BG-25) shall have an Invoiced quantity unit of measure code (BT-130).	Invoice Line	BT-130
BR-24	Each Invoice line (BG-25) shall have an Invoice line net amount (BT-131).	Invoice Line	BT-131
BR-25	Each Invoice line (BG-25) shall contain the Item name 153).	Item information	BT-153
BR-26	Each Invoice line (BG-25) shall contain the Item net price (BT-146).	Price details	BT-146
BR-27	The Item net price (BT-146) shall NOT be negative.	Item net price	BT-146
BR-28	The Item gross price (BT-148) shall NOT be negative.	Price details	BT-148
BR-29	If both Invoicing period start date (BT-73) and Invoicing period end date (BT-74) are given then the Invoicing period end date (BT-74) shall be later or equal to the Invoicing period start date (BT-73).	Invoicing Period	BT-74
BR-30	If both Invoice line period start date (BT-134) and Invoice line period end date (BT-135) are given then the Invoice line period end date (BT-135) shall be later or equal to the Invoice line period start date (BT-134).	Invoice Line Period	BT-135
BR-31	Each Document level allowance (BG-20) shall have a Document level allowance amount (BT-92).	Document level allowances	BT-92
BR-32	Each Document level allowance (BG-20) shall have a Document level allowance VAT category code (BT-95).	Document level allowances	BT-95
BR-33	Each Document level allowance (BG-20) shall have a Document level allowance reason (BT-97) or a Document level allowance reason code (BT-98).	Document level allowances	BT-97,BT-98
BR-36	Each Document level charge (BG-21) shall have a Document level charge amount (BT-99).	Document level charges	BT-99
BR-37	Each Document level charge (BG-21) shall have a Document level charge VAT category code fBT-102).	Document level charges	BT-102
BR-38	Each Document level charge (BG-21) shall have a Document level charge reason (BT-104) or a Document level charge reason code fBT-1051	Document level charges	BT-104,BT-105
BR-41	Each Invoice line allowance (BG-27) shall have an Invoice line allowance amount (BT-136).	Invoice line allowances	BT-136
BR-42	Each Invoice line allowance (BG-27) shall have an Invoice line allowance reason (BT-139) or an Invoice line allowance reason code (BT-140).	Invoice line allowances	BT-144,BT-145
BR-43	Each Invoice line charge (BG-28) shall have an Invoice line charge amount (BT-141).	Invoice line charges	BT-141
BR-44	Each Invoice line charge (BG-28) shall have an Invoice line charge reason (BT-144) or an Invoice line charge reason code (BT-145),	Invoice line charges	BT-139,BT-140
BR-45	Each VAT breakdown (BG-23) shall have a VAT category taxable amount (BT-116).	VAT breakdown	BT-116
BR-46	Each VAT breakdown (BG-23) shall have a VAT category tax amount (BT-117).	VAT breakdown	BT-117
BR-47	Each VAT breakdown (BG-23) shall be defined through a VAT category code (BT-118).	VAT breakdown	BT-118
BR-48	Each VAT breakdown (BG-23) shall have a VAT category rate (BT-119), except if the Invoice is not subject to VAT.	VAT breakdown	BT-119
BR-49	A Payment instruction (BG-16) shall specify the Payment means type code (BT-81).	Payment instructions	BT-81
BR-50	A Payment account identifier (BT-84) shall be present if Credit transfer (BG-16) information is provided in the Invoice.	Account information	BT-84
BR-51	The last 4 to 6 digits of the Payment card primary account number (BT-87) shall be present if Payment card information (BG-18) is provided in the Invoice.	Card information	BT-87
BR-52	Each Additional supporting document (BG-24) shall contain a Supporting document reference (BT-122).	Additional supporting documents	BT-122
BR-53	If the VAT accounting currency code (BT-6) is present, then the Invoice total VAT amount in accounting currency (BT1111 shall be provided.	Document totals	BT-111
BR-54	Each Item attribute (BG-32) shall contain an Item attribute name (BT-160) and an Item attribute value (BT-161).	Item attributes	BT-160,BT-161
BR-55	Each Preceding Invoice reference (BG-3) shall contain a Preceding Invoice reference (BT-25).	Preceding invoice reference	BT-25
BR-56	Each Seller tax representative party (BG-11) shall have a Seller tax representative VAT identifier (BT-63).	Seller tax representative	BT-63
BR-57	Each Deliver to address (BG-15) shall contain a Deliver to country code (BT-80).	Deliver to address	BT-80
