Identifier,Flag,Message,Message_ja
ibr-01,fatal,An Invoice shall have a Specification identifier (ibt-024).   ,請求書は、仕様ID(ibt-024)を持たなければならない。
ibr-02,fatal,An Invoice shall have an Invoice number (ibt-001).,請求書は、請求書番号(ibt-001)を持たなければならない。
ibr-03,fatal,An Invoice shall have an Invoice issue date (ibt-002).,請求書は、請求書発行日(ibt-002)を持たなければならない。
ibr-04,fatal,An Invoice shall have an Invoice type code (ibt-003).,請求書は、請求書タイプコード(ibt-003)を持たなければならない。
ibr-05,fatal,An Invoice shall have an Invoice currency code (ibt-005).,請求書は、請求書通貨コード(ibt-005)を持たなければならない。
ibr-06,fatal,An Invoice shall contain the Seller name (ibt-027).,請求書は、売り手名称(ibt-027)を持たなければならない。
ibr-07,fatal,An Invoice shall contain the Buyer name (ibt-044).,請求書は、買い手名称(ibt-044)を持たなければならない。
ibr-08,fatal,An Invoice shall contain the Seller postal address (ibg-05).,請求書は、売り手住所(ibg-05)を持たなければならない。
ibr-09,fatal,The Seller postal address (ibg-05) shall contain a Seller country code (ibt-040).,売り手住所(ibg-05)は、売り手国コード(ibt-040)を持たなければならない。
ibr-10,fatal,An Invoice shall contain the Buyer postal address (ibg-08).,請求書は、買い手住所(ibg-08)を持たなければならない。
ibr-11,fatal,The Buyer postal address (ibg-089 shall contain a Buyer country code (ibt-055).,買い手住所(ibg-089)は、買い手国コード(ibt-055)を持たなければならない。
ibr-12,fatal,An Invoice shall have the Sum of Invoice line net amount (ibt-106).,請求書は、値引/割引後請求書明細行金額の合計(ibt-106)を持たなければならない。
ibr-13,fatal,An Invoice shall have the Invoice total amount without Tax (ibt-109).,請求書は、請求書合計金額(税抜き)(ibt-109)を持たなければならない。
ibr-14,fatal,An Invoice shall have the Invoice total amount with Tax (ibt-112).,請求書は、請求書合計金額(税込み)(ibt-112)を持たなければならない。
ibr-15,fatal,An Invoice shall have the Amount due for payment (ibt-115).,請求書は、未払金額(ibt-115)を持たなければならない。
ibr-16,fatal,An Invoice shall have at least one Invoice line (ibg-25),請求書は、少なくともひとつの請求書明細行(ibg-25)を持たなければならない。
ibr-17,fatal,"The Payee name (ibt-059) shall be provided in the Invoice, if the Payee (ibg-10) is different from the Seller (ibg-04).",支払先名称(ibt-059)は、支払先(ibg-10)が売り手(ibg-04)と異なる場合は、請求書で指定されなければならない。
ibr-18,fatal,"The Seller tax representative name (ibt-062) shall be provided in the Invoice, if the Seller (ibg-04) has a Seller tax representative party (ibg-11)",売り手納税管理人名称(ibt-062)は、売り手(ibg-04)に売り手納税管理人(ibg-11)がいる場合、請求書で明示的に指定されなければならない。
ibr-19,fatal,"The Seller tax representative postal address (ibg-12) shall be provided in the Invoice, if the Seller (ibg-04) has a Seller tax representative party (ibg-11).",売り手納税管理人住所(ibg-12)は、売り手(ibg-04)に売り手納税管理人(ibg-11)がいる場合、請求書で明示的に指定されなければならない。
ibr-20,fatal,"The Seller tax representative postal address (ibg-12) shall contain a Tax representative country code (ibt-069), if the Seller (ibg-04) has a Seller tax representative party (ibg-11).",売り手納税管理人住所(ibg-12)は、売り手(ibg-04)に売り手納税管理人(ibg-11)がいる場合、納税管理人国コード(ibt-069)を持たなければならない。
ibr-21,fatal,Each Invoice line (ibg-25) shall have an Invoice line identifier (ibt-126).,個々の請求書明細行(ibg-25)は、請求書明細行ID(ibt-126)を持たなければならない。
ibr-22,fatal,Each Invoice line (ibg-25) shall have an Invoiced quantity (ibt-129).,個々の請求書明細行(ibg-25)は、請求される数量(ibt-129)を持たなければならない。
ibr-23,fatal,An Invoice line (ibg-25) shall have an Invoiced quantity unit of measure code (ibt-130).,請求書明細行(ibg-25)は、請求される数量の数量単位コード(ibt-130)を持たなければならない。
ibr-24,fatal,Each Invoice line (ibg-25) shall have an Invoice line net amount (ibt-131).,個々の請求書明細行(ibg-25)は、値引/割引後請求書明細行金額(税抜き)(ibt-131)を持たなければならない。
ibr-25,fatal,Each Invoice line (ibg-25) shall contain the Item name (ibt-153).,個々の請求書明細行(ibg-25)は、品名(ibt-153)を持たなければならない。
ibr-26,fatal,Each Invoice line (ibg-25) shall contain the Item net price (ibt-146).,個々の請求書明細行(ibg-25)は、品目単価(値引/割引後)(税抜き)(ibt-146)を持たなければならない。
ibr-27,fatal,The Item net price (ibt-146) shall NOT be negative.,品目単価(値引/割引後)(税抜き)(ibt-146)は、負の値となってはならない。
ibr-28,fatal,The Item gross price (ibt-148) shall NOT be negative.,品目単価(値引/割引前)(税抜き)(ibt-148)は、負の値となってはならない。
ibr-29,fatal,If both Invoicing period start date (ibt-073) and Invoicing period end date (ibt-074) are given then the Invoicing period end date (ibt-074) shall be later or equal to the Invoicing period start date (ibt-073).,請求期間開始日(ibt-073)と請求期間終了日(ibt-074)が指定されている場合、請求期間終了日(ibt-074)は、請求期間開始日(ibt-073)以上でなければならない。
ibr-30,fatal,If both Invoice line period start date (ibt-134) and Invoice line period end date (ibt-135) are given then the Invoice line period end date (ibt-135) shall be later or equal to the Invoice line period start date (ibt-134).,請求書明細行の期間開始日(ibt-134)と請求書明細行の期間終了日(ibt-135)が指定されている場合、請求書明細行の期間終了日(ibt-135)は、請求書明細行の期間開始日(ibt-134)以上でなければならない。
ibr-31,fatal,Each Document level allowance (ibg-20) shall have a Document level allowance amount (ibt-092).,個々のドキュメントレベルの返還請求(ibg-20)は、ドキュメントレベルの返還請求金額(税抜き)(ibt-092)を持たなければならない。
ibr-33,fatal,Each Document level allowance (ibg-20) shall have a Document level allowance reason (ibt-907) or a Document level allowance reason code (ibt-098).,個々のドキュメントレベルの返還請求(ibg-20)は、ドキュメントレベルの返還請求の理由(ibt-097)もしくはドキュメントレベルの返還請求の理由コード(ibt-098)を持たなければならない。
ibr-36,fatal,Each Document level charge (ibg-21) shall have a Document level charge amount (ibt-099).,個々のドキュメントレベルの追加請求(ibg-21)は、ドキュメントレベルの追加請求金額(税抜き)(ibt-099)を持たなければならない。
ibr-38,fatal,Each Document level charge (ibg-21) shall have a Document level charge reason (ibt-104) or a Document level charge reason code (ibt-105).,個々のドキュメントレベルの追加請求(ibg-21)は、ドキュメントレベルの追加請求の理由(ibt-104)もしくはドキュメントレベルの追加請求の理由コード(ibt-105)を持たなければならない。
ibr-41,fatal,Each Invoice line allowance (ibg-27) shall have an Invoice line allowance amount (ibt-136).,個々の請求書明細行の返還請求(ibg-27)は、請求書明細行の返還請求金額(税抜き)(ibt-136)を持たなければならない。
ibr-42,fatal,Each Invoice line allowance (ibg-27) shall have an Invoice line allowance reason (ibt-139) or an Invoice line allowance reason code (ibt-140).,個々の請求書明細行の返還請求(ibg-27)は、請求書明細行の返還請求理由(ibt-139)もしくは請求書明細行の返還請求理由コード(ibt-140)を持たなければならない。
ibr-43,fatal,Each Invoice line charge (ibg-28) shall have an Invoice line charge amount (ibt-141).,個々の請求書明細行の追加請求(ibg-28)は、請求書明細行の追加請求金額(税抜き)(ibt-141)を持たなければならない。
ibr-44,fatal,Each Invoice line charge (ibg-28) shall have an Invoice line charge reason (ibt-144) or an invoice line allowance reason code (ibt-145).,個々の請求書明細行の追加請求(ibg-28)は、請求書明細行の追加請求理由(ibt-144)もしくは請求書明細行の追加請求理由コード(ibt-145)を持たなければならない。
ibr-49,fatal,A Payment instruction (ibg-16) shall specify the Payment means type code (ibt-081).,支払指示(ibg-16)は、支払手段タイプコード(ibt-081)を特定しなければならない。
ibr-52,fatal,Each Additional supporting document (ibg-24) shall contain a Supporting document reference (ibt-122).   ,個々の添付書類(ibg-24)は、添付書類への参照(ibt-122)を持たなければならない。
ibr-53,fatal,"If the Tax accounting currency code (ibt-006) is present, then the Invoice total Tax amount in accounting currency (ibt-111) shall be provided.",税会計報告用通貨コード(ibt-006)が指定されている場合は、会計通貨での請求書消費税合計金額(ibt-111)を指定しなければならない。
ibr-54,fatal,Each Item attribute (ibg-32) shall contain an Item attribute name (ibt-160) and an Item attribute value (ibt-161).,個々の品目属性(ibg-32)は、品目属性名(ibt-160)と品目属性値(ibt-161)を含まなければならない。
ibr-55,fatal,Each Preceding Invoice reference (ibg-03) shall contain a Preceding Invoice reference (ibt-025).,個々の先行請求書への参照(ibg-03)は、先行請求書への参照(ibt-025)を含まなければならない。
ibr-56,fatal,Each Seller tax representative party (ibg-11) shall have a Seller tax representative Tax identifier (ibt-063).,個々の売り手納税管理人(ibg-11)は、売り手納税管理人税ID(ibt-063)を持たなければならない。
ibr-57,fatal,Each Deliver to address (ibg-15) shall contain a Deliver to country code (ibt-080).,個々の納入先住所(ibg-15)は、納入先国コード(ibt-080)を含まなければならない。
ibr-62,fatal,The Seller electronic address (ibt-034) shall have a Scheme identifier.,売り手電子アドレス(ibt-034)は、スキーマIDを持たなければならない。
ibr-63,fatal,The Buyer electronic address (ibt-049) shall have a Scheme identifier.   ,買い手電子アドレス(ibt-049)は、スキーマIDを持たなければならない。
ibr-64,fatal,The Item standard identifier (ibt-157) shall have a Scheme identifier.,品目標準ID(ibt-157)は、スキーマIDを持たなければならない。
ibr-65,fatal,The Item classification identifier (ibt-158) shall have a Scheme identifier.,品目分類ID(ibt-158)は、スキーマIDを持たなければならない。
ibr-67,fatal,Invoice amount due for payment (ibt-115) shall have no more than 2 decimals.,未払金額(ibt-115)は、小数点以下2桁以上を持ってはならない。
