Sort,UBL_Sort,SynSort,PINT_ID,Schematron,XPath,Level,CC,Datatype,Occurrence
1000,1000,,,not,/Invoice/cbc:UBLVersionID,1,cbc:UBLVersionID,Identifier,0..1
1010,1010,1000,ibt-024,,/Invoice/cbc:CustomizationID,1,cbc:CustomizationID,Identifier,0..1
1020,1020,1010,ibt-023,,/Invoice/cbc:ProfileID,1,cbc:ProfileID,Identifier,0..1
1030,1030,,,not,/Invoice/cbc:ProfileExecutionID,1,cbc:ProfileExecutionID,Identifier,0..1
1040,1040,1020,ibt-001,,/Invoice/cbc:ID,1,cbc:ID,Identifier,1..1
1050,1050,,,not,/Invoice/cbc:CopyIndicator,1,cbc:CopyIndicator,Indicator,0..1
1060,1060,,,not,/Invoice/cbc:UUID,1,cbc:UUID,Identifier,0..1
1070,1070,1030,ibt-002,,/Invoice/cbc:IssueDate,1,cbc:IssueDate,Date,1..1
1080,1080,1035,ibt-168,not,/Invoice/cbc:IssueTime,1,cbc:IssueTime,Time,0..1
1090,1090,1040,ibt-009,,/Invoice/cbc:DueDate,1,cbc:DueDate,Date,0..1
1100,1100,1050,ibt-003,,/Invoice/cbc:InvoiceTypeCode,1,cbc:InvoiceTypeCode,Code,0..1
1110,1110,1060,ibt-021,,/Invoice/cbc:Note,1,cbc:Note,Text,0..n
1120,1120,1080,ibt-007,,/Invoice/cbc:TaxPointDate,1,cbc:TaxPointDate,Date,0..1
1130,1130,1090,ibt-005,,/Invoice/cbc:DocumentCurrencyCode,1,cbc:DocumentCurrencyCode,Code,0..1
1140,1140,1100,ibt-006,,/Invoice/cbc:TaxCurrencyCode,1,cbc:TaxCurrencyCode,Code,0..1
1150,1150,,,not,/Invoice/cbc:PricingCurrencyCode,1,cbc:PricingCurrencyCode,Code,0..1
1160,1160,,,not,/Invoice/cbc:PaymentCurrencyCode,1,cbc:PaymentCurrencyCode,Code,0..1
1170,1170,,,not,/Invoice/cbc:PaymentAlternativeCurrencyCode,1,cbc:PaymentAlternativeCurrencyCode,Code,0..1
1180,1180,,,not,/Invoice/cbc:AccountingCostCode,1,cbc:AccountingCostCode,Code,0..1
1190,1190,1110,ibt-019,,/Invoice/cbc:AccountingCost,1,cbc:AccountingCost,Text,0..1
1200,1200,,,not,/Invoice/cbc:LineCountNumeric,1,cbc:LineCountNumeric,Numeric,0..1
1210,1210,1120,ibt-010,,/Invoice/cbc:BuyerReference,1,cbc:BuyerReference,Text,0..1
1220,1220,1130,ibg-14,,/Invoice/cac:InvoicePeriod,1,cac:InvoicePeriod,PeriodType,0..n
1230,1230,1140,ibt-073,,/Invoice/cac:InvoicePeriod/cbc:StartDate,2,cbc:StartDate,Date,0..1
1240,1240,,,not,/Invoice/cac:InvoicePeriod/cbc:StartTime,2,cbc:StartTime,Time,0..1
1250,1250,1150,ibt-074,,/Invoice/cac:InvoicePeriod/cbc:EndDate,2,cbc:EndDate,Date,0..1
1260,1260,,,not,/Invoice/cac:InvoicePeriod/cbc:EndTime,2,cbc:EndTime,Time,0..1
1270,1270,,,not,/Invoice/cac:InvoicePeriod/cbc:DurationMeasure,2,cbc:DurationMeasure,Measure,0..1
1280,1280,1160,ibt-008,,/Invoice/cac:InvoicePeriod/cbc:DescriptionCode,2,cbc:DescriptionCode,Code,0..n
1290,1290,,,not,/Invoice/cac:InvoicePeriod/cbc:Description,2,cbc:Description,Text,0..n
1300,1300,1170,0,,/Invoice/cac:OrderReference,1,cac:OrderReference,OrderReferenceType,0..1
1310,1310,1180,ibt-013,,/Invoice/cac:OrderReference/cbc:ID,2,cbc:ID,Identifier,1..1
1320,1320,1190,ibt-014,,/Invoice/cac:OrderReference/cbc:SalesOrderID,2,cbc:SalesOrderID,Identifier,0..1
1330,1330,,,not,/Invoice/cac:OrderReference/cbc:CopyIndicator,2,cbc:CopyIndicator,Indicator,0..1
1340,1340,,,not,/Invoice/cac:OrderReference/cbc:UUID,2,cbc:UUID,Identifier,0..1
1350,1350,,,not,/Invoice/cac:OrderReference/cbc:IssueDate,2,cbc:IssueDate,Date,0..1
1360,1360,,,not,/Invoice/cac:OrderReference/cbc:IssueTime,2,cbc:IssueTime,Time,0..1
1370,1370,,,not,/Invoice/cac:OrderReference/cbc:CustomerReference,2,cbc:CustomerReference,Text,0..1
1380,1380,,,not,/Invoice/cac:OrderReference/cbc:OrderTypeCode,2,cbc:OrderTypeCode,Code,0..1
