seq	level	option	name	abbreviation	datatype	enumeration/pattern	occurrence	XPath
1000	0		Document	Document	CustomerCreditTransferInitiationV11		1	/Document
1010	1		Customer Credit Transfer Initiation	CstmrCdtTrfInitn	CustomerCreditTransferInitiationV11		1	/Document/CstmrCdtTrfInitn
1020	2		Group Header	GrpHdr	GroupHeader95		1	/Document/CstmrCdtTrfInitn/GrpHdr
1030	3		Message Identification	MsgId	Max35Text (xs:string)		1	/Document/CstmrCdtTrfInitn/GrpHdr/MsgId
1040	3		Creation Date Time	CreDtTm	ISODateTime (xs:dateTime)		1	/Document/CstmrCdtTrfInitn/GrpHdr/CreDtTm
1050	3		Authorisation	Authstn	Authorisation1Choice		0..2	/Document/CstmrCdtTrfInitn/GrpHdr/Authstn
1060	4	 --- Chc	Code	Cd	Authorisation1Code (xs:string)	AUTH FDET FSUM ILEV	1	/Document/CstmrCdtTrfInitn/GrpHdr/Authstn/Cd
1070	4	 --- Chc	Proprietary	Prtry	Max128Text (xs:string)		1	/Document/CstmrCdtTrfInitn/GrpHdr/Authstn/Prtry
1080	3		Number Of Transactions	NbOfTxs	Max15NumericText (xs:string)	[0-9]{1,15}	1	/Document/CstmrCdtTrfInitn/GrpHdr/NbOfTxs
1090	3		Control Sum	CtrlSum	DecimalNumber (xs:decimal)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/CtrlSum
1100	3		Initiating Party	InitgPty	PartyIdentification135		1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty
1110	4		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/Nm
1120	4		Postal Address	PstlAdr	PostalAddress24		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr
1130	5		Address Type	AdrTp	AddressType3Choice		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/AdrTp
1140	6	 ----- Chc	Code	Cd	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/AdrTp/Cd
1150	6	 ----- Chc	Proprietary	Prtry	GenericIdentification30		1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/AdrTp/Prtry
1160	7		Identification	Id	Exact4AlphaNumericText (xs:string)	[a-zA-Z0-9]{4}	1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/AdrTp/Prtry/Id
