seq	level	option	name	abbreviation	datatype	enumeration/pattern	occurrence	XPath
1000	0		Document	Document	CustomerPaymentStatusReportV12		1	/Document
1010	1		Customer Payment Status Report	CstmrPmtStsRpt	CustomerPaymentStatusReportV12		1	/Document/CstmrPmtStsRpt
1020	2		Group Header	GrpHdr	GroupHeader86		1	/Document/CstmrPmtStsRpt/GrpHdr
1030	3		Message Identification	MsgId	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/MsgId
1040	3		Creation Date Time	CreDtTm	ISODateTime (xs:dateTime)		1	/Document/CstmrPmtStsRpt/GrpHdr/CreDtTm
1050	3		Initiating Party	InitgPty	PartyIdentification135		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty
1060	4		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Nm
1070	4		Postal Address	PstlAdr	PostalAddress24		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr
1080	5		Address Type	AdrTp	AddressType3Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/AdrTp
1090	6	 ----- Chc	Code	Cd	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/AdrTp/Cd
1100	6	 ----- Chc	Proprietary	Prtry	GenericIdentification30		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/AdrTp/Prtry
1110	7		Identification	Id	Exact4AlphaNumericText (xs:string)	[a-zA-Z0-9]{4}	1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/AdrTp/Prtry/Id
1120	7		Issuer	Issr	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/AdrTp/Prtry/Issr
1130	7		Scheme Name	SchmeNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/AdrTp/Prtry/SchmeNm
1140	5		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/Dept
1150	5		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/SubDept
1160	5		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/StrtNm
1170	5		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/BldgNb
1180	5		Building Name	BldgNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/BldgNm
1190	5		Floor	Flr	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/Flr
1200	5		Post Box	PstBx	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/PstBx
1210	5		Room	Room	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/Room
1220	5		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/PstCd
1230	5		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/TwnNm
1240	5		Town Location Name	TwnLctnNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/TwnLctnNm
1250	5		District Name	DstrctNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/DstrctNm
1260	5		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/CtrySubDvsn
1270	5		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/Ctry
1280	5		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/AdrLine
1290	4		Identification	Id	Party38Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id
1300	5	 ---- Chc	Organisation Identification	OrgId	OrganisationIdentification29		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId
1310	6		Any BIC	AnyBIC	AnyBICDec2014Identifier (xs:string)	[A-Z0-9]{4,4}[A-Z]{2,2}[A-Z0-9]{2,2}([A-Z0-9]{3,3}){0,1}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/AnyBIC
1320	6		LEI	LEI	LEIIdentifier (xs:string)	[A-Z0-9]{18,18}[0-9]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/LEI
1330	6		Other	Othr	GenericOrganisationIdentification1		0..n	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr
1340	7		Identification	Id	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr/Id
1350	7		Scheme Name	SchmeNm	OrganisationIdentificationSchemeName1Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr/SchmeNm
1360	8	 ------- Chc	Code	Cd	ExternalOrganisationIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr/SchmeNm/Cd
1370	8	 ------- Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr/SchmeNm/Prtry
1380	7		Issuer	Issr	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr/Issr
1390	5	 ---- Chc	Private Identification	PrvtId	PersonIdentification13		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId
1400	6		Date And Place Of Birth	DtAndPlcOfBirth	DateAndPlaceOfBirth1		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/DtAndPlcOfBirth
1410	7		Birth Date	BirthDt	ISODate (xs:date)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/DtAndPlcOfBirth/BirthDt
1420	7		Province Of Birth	PrvcOfBirth	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/DtAndPlcOfBirth/PrvcOfBirth
1430	7		City Of Birth	CityOfBirth	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/DtAndPlcOfBirth/CityOfBirth
1440	7		Country Of Birth	CtryOfBirth	CountryCode (xs:string)	[A-Z]{2,2}	1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/DtAndPlcOfBirth/CtryOfBirth
1450	6		Other	Othr	GenericPersonIdentification1		0..n	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr
1460	7		Identification	Id	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr/Id
1470	7		Scheme Name	SchmeNm	PersonIdentificationSchemeName1Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr/SchmeNm
1480	8	 ------- Chc	Code	Cd	ExternalPersonIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr/SchmeNm/Cd
1490	8	 ------- Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr/SchmeNm/Prtry
1500	7		Issuer	Issr	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr/Issr
1510	4		Country Of Residence	CtryOfRes	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtryOfRes
1520	4		Contact Details	CtctDtls	Contact4		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls
1530	5		Name Prefix	NmPrfx	NamePrefix2Code (xs:string)	DOCT MADM MISS MIST MIKS	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/NmPrfx
1540	5		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/Nm
1550	5		Phone Number	PhneNb	PhoneNumber (xs:string)	\+[0-9]{1,3}-[0-9()+\-]{1,30}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/PhneNb
1560	5		Mobile Number	MobNb	PhoneNumber (xs:string)	\+[0-9]{1,3}-[0-9()+\-]{1,30}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/MobNb
1570	5		Fax Number	FaxNb	PhoneNumber (xs:string)	\+[0-9]{1,3}-[0-9()+\-]{1,30}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/FaxNb
1580	5		Email Address	EmailAdr	Max2048Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/EmailAdr
1590	5		Email Purpose	EmailPurp	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/EmailPurp
1600	5		Job Title	JobTitl	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/JobTitl
1610	5		Responsibility	Rspnsblty	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/Rspnsblty
1620	5		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/Dept
1630	5		Other	Othr	OtherContact1		0..n	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/Othr
1640	6		Channel Type	ChanlTp	Max4Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/Othr/ChanlTp
1650	6		Identification	Id	Max128Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/Othr/Id
1660	5		Preferred Method	PrefrdMtd	PreferredContactMethod1Code (xs:string)	LETT MAIL PHON FAXX CELL	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/PrefrdMtd
1670	3		Forwarding Agent	FwdgAgt	BranchAndFinancialInstitutionIdentification6		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt
1680	4		Financial Institution Identification	FinInstnId	FinancialInstitutionIdentification18		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId
1690	5		BICFI	BICFI	BICFIDec2014Identifier (xs:string)	[A-Z0-9]{4,4}[A-Z]{2,2}[A-Z0-9]{2,2}([A-Z0-9]{3,3}){0,1}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/BICFI
1700	5		Clearing System Member Identification	ClrSysMmbId	ClearingSystemMemberIdentification2		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId
1710	6		Clearing System Identification	ClrSysId	ClearingSystemIdentification2Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/ClrSysId
1720	7	 ------ Chc	Code	Cd	ExternalClearingSystemIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd
1730	7	 ------ Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Prtry
1740	6		Member Identification	MmbId	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/MmbId
1750	5		LEI	LEI	LEIIdentifier (xs:string)	[A-Z0-9]{18,18}[0-9]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/LEI
1760	5		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/Nm
1770	5		Postal Address	PstlAdr	PostalAddress24		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr
1780	6		Address Type	AdrTp	AddressType3Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/AdrTp
1790	7	 ------ Chc	Code	Cd	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/AdrTp/Cd
1800	7	 ------ Chc	Proprietary	Prtry	GenericIdentification30		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/AdrTp/Prtry
1810	8		Identification	Id	Exact4AlphaNumericText (xs:string)	[a-zA-Z0-9]{4}	1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Id
1820	8		Issuer	Issr	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Issr
1830	8		Scheme Name	SchmeNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/AdrTp/Prtry/SchmeNm
1840	6		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/Dept
1850	6		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/SubDept
1860	6		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/StrtNm
1870	6		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/BldgNb
1880	6		Building Name	BldgNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/BldgNm
1890	6		Floor	Flr	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/Flr
1900	6		Post Box	PstBx	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/PstBx
1910	6		Room	Room	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/Room
1920	6		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/PstCd
1930	6		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/TwnNm
1940	6		Town Location Name	TwnLctnNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/TwnLctnNm
1950	6		District Name	DstrctNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/DstrctNm
1960	6		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/CtrySubDvsn
1970	6		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/Ctry
1980	6		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/AdrLine
