seq	level	option	name	abbreviation	datatype	enumeration/pattern	occurrence	XPath
1000	0		Document	Document	CustomerCreditTransferInitiationV03		1	/Document
1010	1		Customer Credit Transfer Initiation	CstmrCdtTrfInitn	CustomerCreditTransferInitiationV03		1	/Document/CstmrCdtTrfInitn
1020	2		Group Header	GrpHdr	GroupHeader32		1	/Document/CstmrCdtTrfInitn/GrpHdr
1030	3		Message Identification	MsgId	Max35Text (xs:string)		1	/Document/CstmrCdtTrfInitn/GrpHdr/MsgId
1040	3		Creation Date Time	CreDtTm	ISODateTime (xs:dateTime)		1	/Document/CstmrCdtTrfInitn/GrpHdr/CreDtTm
1050	3		Authorisation	Authstn	Authorisation1Choice		0..2	/Document/CstmrCdtTrfInitn/GrpHdr/Authstn
1060	4	 --- Chc	Code	Cd	Authorisation1Code (xs:string)	AUTH FDET FSUM ILEV	1	/Document/CstmrCdtTrfInitn/GrpHdr/Authstn/Cd
1070	4	 --- Chc	Proprietary	Prtry	Max128Text (xs:string)		1	/Document/CstmrCdtTrfInitn/GrpHdr/Authstn/Prtry
1080	3		Number Of Transactions	NbOfTxs	Max15NumericText (xs:string)	[0-9]{1,15}	1	/Document/CstmrCdtTrfInitn/GrpHdr/NbOfTxs
1090	3		Control Sum	CtrlSum	DecimalNumber (xs:decimal)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/CtrlSum
1100	3		Initiating Party	InitgPty	PartyIdentification32		1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty
1110	4		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/Nm
1120	4		Postal Address	PstlAdr	PostalAddress6		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr
1130	5		Address Type	AdrTp	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/AdrTp
1140	5		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/Dept
1150	5		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/SubDept
1160	5		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/StrtNm
1170	5		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/BldgNb
1180	5		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/PstCd
1190	5		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/TwnNm
1200	5		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/CtrySubDvsn
1210	5		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/Ctry
1220	5		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/CstmrCdtTrfInitn/GrpHdr/InitgPty/PstlAdr/AdrLine
